experiment,seed,rep,m,n,rank,theta,noise_sigma,mp_edge,top_sv,second_sv,detectable_rank,stable_rank,effective_rank,left_overlap,right_overlap,mean_overlap
bbp,7,3,128,128,1,1.2,1.0,2.0,2.0780406503148723,1.9633740501560024,1,30.61422240423362,76.91500427425942,0.39482244602611927,0.5032283740317844,0.44902541002895185
bbp,7,4,128,128,1,1.2,1.0,2.0,2.0130205835963646,1.9663997233863144,1,32.14592835953046,76.96762530424753,0.1154689395334495,0.08573581554706576,0.10060237754025764
bbp,7,5,128,128,1,1.2,1.0,2.0,1.9731741460723922,1.9207711401197212,0,33.07318286152173,77.35806830067008,0.43810345322785443,0.29731401147239217,0.3677087323501233
bbp,7,6,128,128,1,1.2,1.0,2.0,2.084657910782501,1.9384734893975586,1,29.555351986453037,77.43837005763574,0.28864788539372976,0.33944720132458417,0.31404754335915697
bbp,7,7,128,128,1,1.2,1.0,2.0,2.0770251647084095,1.953874586082459,1,29.668737729271236,77.30907394353815,0.40530495195085503,0.4097306540657823,0.40751780300831864
bbp,7,8,128,128,1,1.2,1.0,2.0,2.010181585602042,1.945947774289258,1,32.38454789886056,77.25071133232542,0.2572552834600208,0.28662786530684814,0.27194157438343447
bbp,7,9,128,128,1,1.2,1.0,2.0,2.0203640161772447,1.8984753679673028,1,31.192182481049137,76.8948648477434,0.29604690635883435,0.3095304566629216,0.302788681510878
bbp,7,0,128,128,1,1.5,1.0,2.0,2.0601924514201735,1.94976959471091,1,31.01440302488085,77.49353878815114,0.5777184283633561,0.5978635765805993,0.5877910024719777
bbp,7,1,128,128,1,1.5,1.0,2.0,2.1465776663242577,1.9658494537946574,1,27.881890436424282,76.35474356848489,0.5949402073873016,0.5959783421276076,0.5954592747574545
bbp,7,2,128,128,1,1.5,1.0,2.0,2.0291425575205144,1.9303493108661844,1,31.525901619391067,76.80741627131869,0.37142482927099024,0.45577655608719136,0.41360069267909083
bbp,7,3,128,128,1,1.5,1.0,2.0,2.1217293348247956,1.944917826109736,1,28.561710033338088,77.08154803743058,0.5152079964077452,0.5432028328151455,0.5292054146114453
bbp,7,4,128,128,1,1.5,1.0,2.0,2.3395525833537696,1.9353374230624873,1,23.612690960351234,76.06559953939812,0.5725481149267704,0.5998007190279971,0.5861744169773837
bbp,7,5,128,128,1,1.5,1.0,2.0,2.1973017952768927,1.9807819918475067,1,26.992563164647805,76.1446837142117,0.5695326426827506,0.5836784623015033,0.576605552492127
bbp,7,6,128,128,1,1.5,1.0,2.0,2.107561404699733,1.8917417193067638,1,28.926606873861946,77.1681674232734,0.5347301490386112,0.47157916715370274,0.503154658096157
bbp,7,7,128,128,1,1.5,1.0,2.0,2.1772025465845233,1.9832666034472466,1,27.68190668027082,76.63921087596374,0.5762147714469684,0.5614762171430944,0.5688454942950314
bbp,7,8,128,128,1,1.5,1.0,2.0,2.216459564651492,1.9103778484872036,1,26.48929741981439,76.790566513091,0.5449424017052021,0.5753779326022433,0.5601601671537227
bbp,7,9,128,128,1,1.5,1.0,2.0,2.1178654400905854,1.9788726424530503,1,29.394540375623688,77.14138956886403,0.47468742754240023,0.4749433852331075,0.4748154063877539
bbp,7,0,128,128,1,2.0,1.0,2.0,2.381064471920809,1.9456223483075625,1,23.090308661896945,75.37255081189036,0.7265939140083938,0.7265859959360552,0.7265899549722246
