experiment,seed,rep,overlap,conflict_fraction,rank,single_a_loss,single_b_loss,merge_a_loss,merge_b_loss,mean_single_loss,mean_merge_loss,merge_degradation,forgetting_merge,edge_a,edge_b,detectable_rank_a,detectable_rank_b,spectral_interference,signed_task_inner,conflict_score
merge_conflict,41,4,0.0,1.0,8,0.001602544476176013,0.0016225230042141115,0.08082493202105252,0.08080660005501747,0.0016125337401950621,0.080815766038035,0.07920323229783995,0.08105918529462477,0.8298704911308155,0.8073705747266381,6,6,2.1281267365025593e-10,0.00011886532417349747,0.0
merge_conflict,41,5,0.0,1.0,8,0.0016195820462472442,0.0016043355872998675,0.08111855032231598,0.08214748865692896,0.0016119588167735558,0.08163301948962247,0.0800210606728489,0.08148049995895551,0.8105197299919563,0.8353856737248477,6,6,4.773300128103003e-11,0.0005434619282800537,0.0
merge_conflict,41,6,0.0,1.0,8,0.001582903108150824,0.001592574634484957,0.08058469531446341,0.0812416333011245,0.0015877388713178907,0.08091316430779395,0.07932542543647607,0.08079832882010768,0.817865040125522,0.824797315543734,6,6,1.5236711059216623e-10,-0.0009187286464093276,0.0009187286464093276
merge_conflict,41,7,0.0,1.0,8,0.0016031777436284747,0.0016196116275902601,0.08290538448326454,0.0808142109611321,0.0016113946856093674,0.08185979772219831,0.08024840303658895,0.08190923924031135,0.8060411986379293,0.8079373592414134,6,6,1.8940894396185468e-10,0.0006096409851231107,0.0
merge_conflict,41,0,0.1,0.0,8,0.0015848325435731973,0.0015959838189350919,0.07301000148331485,0.07348844917814348,0.0015904081812541447,0.07324922533072917,0.07165881714947503,0.08922375221816947,0.8145470975420291,0.8264418457789799,6,6,0.0019125715133485692,0.09765108985948082,0.0
merge_conflict,41,1,0.1,0.0,8,0.001611753768894378,0.0015875138358532887,0.07356960562317448,0.07301595279070168,0.0015996338023738332,0.07329277920693808,0.07169314540456424,0.0895120073056396,0.8130950193820238,0.8073087389853366,6,6,0.0019066925587585789,0.0987508644966288,0.0
merge_conflict,41,2,0.1,0.0,8,0.0015797346769189319,0.0015954473169671963,0.07427875145918089,0.07322157088306942,0.001587590996943064,0.07375016117112515,0.07216257017418208,0.08982362818440501,0.8113846889963386,0.8182535120382398,6,6,0.001912099265128799,0.09812719467184453,0.0
merge_conflict,41,3,0.1,0.0,8,0.0015712583467104608,0.001562810924641666,0.07344080790239568,0.07337361015536507,0.0015670346356760634,0.07340720902888037,0.07184017439320431,0.09025292128462334,0.8251323039720259,0.8111234064443924,6,6,0.0019164918861549962,0.09865759913537353,0.0
merge_conflict,41,4,0.1,0.0,8,0.0016119652510006867,0.0015878184575353253,0.0729281101556093,0.07365645242134439,0.0015998918542680061,0.07329228128847684,0.07169238943420883,0.08946169586261685,0.8265568124643617,0.8135042276271001,6,6,0.0019071990045507591,0.09973844457104142,0.0
merge_conflict,41,5,0.1,0.0,8,0.0016090096848122772,0.001618572577047119,0.07335870299558107,0.07340933481336423,0.0016137911309296981,0.07338401890447266,0.07177022777354296,0.08950931457181155,0.8084378522190004,0.8223436118510722,6,6,0.0019270603297511556,0.09899002822320459,0.0
merge_conflict,41,6,0.1,0.0,8,0.0015646147841467497,0.0015981869428926753,0.07265564379084223,0.07225443337006095,0.0015814008635197125,0.07245503858045159,0.07087363771693188,0.08877130111560318,0.8060249968592041,0.8293590477262801,6,6,0.0019304221895392693,0.098202536308133,0.0
merge_conflict,41,7,0.1,0.0,8,0.0016093619283678636,0.0015789645701127745,0.07393014373430604,0.07297853533436288,0.001594163249240319,0.07345433953433446,0.07186017628509414,0.08921540225229449,0.8273635194586404,0.8168661445529403,6,6,0.0018773294792698348,0.09677203266428794,0.0
merge_conflict,41,0,0.1,0.25,8,0.0016189288404770755,0.0015620202280930326,0.08538714798000713,0.08281060912209375,0.001590474534285054,0.08409887855105044,0.08250840401676539,0.07998435096415413,0.8102235597097631,0.8212243653881142,6,6,0.0019211838014665857,-0.023972425004327193,0.023972425004327193
merge_conflict,41,1,0.1,0.25,8,0.001588686346174107,0.0016119365366791653,0.08345565361964166,0.08348584083959498,0.0016003114414266362,0.08347074722961832,0.08187043578819168,0.07960900272403074,0.8335291356655142,0.8143490120706464,6,6,0.0019191600466578313,-0.022386722976698848,0.022386722976698848
merge_conflict,41,2,0.1,0.25,8,0.001565093279100972,0.001592963732919232,0.08298507903928946,0.08347920983409798,0.001579028506010102,0.08323214443669372,0.08165311593068361,0.07914467203710288,0.8103100247275643,0.8188098122898576,6,6,0.0019350876542095449,-0.023840074221327886,0.023840074221327886
merge_conflict,41,3,0.1,0.25,8,0.0016121541752947826,0.0016039686298347268,0.08266677481363108,0.08369644716127189,0.0016080614025647546,0.08318161098745148,0.08157354958488673,0.07914544221557357,0.8092827995049378,0.8189390478406782,6,6,0.0019424090393270288,-0.023741835251482466,0.023741835251482466
merge_conflict,41,4,0.1,0.25,8,0.0015977659001372316,0.0015928016323444347,0.08430684446901869,0.08301649593497458,0.0015952837662408332,0.08366167020199664,0.0820663864357558,0.0799051142174843,0.8142226856925814,0.8407315934031864,6,6,0.001919266581488514,-0.022543875171554983,0.022543875171554983
merge_conflict,41,5,0.1,0.25,8,0.0016125609916208153,0.0015818477793607428,0.08288132836196316,0.08250599764597202,0.0015972043854907791,0.08269366300396759,0.08109645861847681,0.07886729827324129,0.8233436145555483,0.8080654847567301,6,6,0.001903557404646014,-0.022160970148940473,0.022160970148940473
merge_conflict,41,6,0.1,0.25,8,0.0016003903797246223,0.001629782078973193,0.08313593138184512,0.08456253892388153,0.0016150862293489077,0.08384923515286333,0.08223414892351442,0.079774615130725,0.8185396046238244,0.8172462407985811,6,6,0.0019266206892294261,-0.023940122937811597,0.023940122937811597
