layer,base_val_loss,oracle_val_loss,improvement_gap,gradient_detectable_rank,gradient_stable_rank,gradient_effective_rank,predicted_rank_detectable,predicted_rank_effective,predicted_rank_stable,best_rank,best_val_loss,true_k_strong,spike_peak,spike_decay,weak_factor,near_best_rank_gap_0.02,near_best_rank_gap_0.05,near_best_rank_gap_0.1,near_best_rank_gap_0.2,recovery_rank_0.5,recovery_rank_0.7,recovery_rank_0.8,recovery_rank_0.9,recovery_rank_0.95,penalized_rank_lambda_0.05,penalized_rank_lambda_0.1,penalized_rank_lambda_0.15,penalized_rank_lambda_0.2,penalized_rank_lambda_0.3
10,0.21272493178591304,0.0024898997416621226,0.21023503204425092,6,2.712693386256007,5.292366092195407,8,8,4,32,0.028443781939181335,7,2.5240660822179244,0.09231394549055591,0.030614957477411123,32,32,8,8,4.0,8.0,32.0,,,32,32,8,8,8
11,0.27708572499169903,0.0024945774900521234,0.2745911475016469,4,1.609236470249395,3.2249591658824492,4,4,2,32,0.010820660616627563,5,3.22562888952048,0.09473418047414398,0.03591137951515984,16,8,8,4,2.0,4.0,4.0,8.0,16.0,16,8,8,8,8
12,0.2242954741756887,0.002499426816750317,0.2217960473589384,2,1.423905393576213,2.8559091173200044,2,4,2,32,0.02292452211662164,6,2.384875808237209,0.03794767685027971,0.07270591843217968,32,16,16,8,4.0,8.0,16.0,32.0,,32,16,16,16,8
13,0.1547953693176068,0.002482305318164614,0.15231306399944217,2,1.3483446619891677,1.8002385092486746,2,2,2,32,0.0037403422058908745,2,3.142572253565842,0.1460727722702786,0.04507646139993091,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,2,2,2
14,0.05428853209525092,0.002504079396188706,0.05178445269906221,1,1.0233666884073591,1.1671637492349916,1,2,2,32,0.004095686660922745,1,2.6959182630800633,0.1577850904964928,0.05844483002809483,2,2,2,1,1.0,1.0,1.0,2.0,2.0,2,2,2,2,2
15,0.19954489492052016,0.0025197304335302603,0.1970251644869899,3,1.6625753377038621,3.5281117469563053,4,4,2,32,0.025045406674230164,6,2.20086893068752,0.020566180125297002,0.022280409090846543,32,16,16,8,4.0,8.0,16.0,,,32,16,16,16,16
16,0.5737709686727787,0.0024993169092466213,0.571271651763532,5,2.0543595258028433,4.753898011010724,8,8,4,32,0.007993735697285983,7,3.601436970333662,0.031685236413920154,0.039450529579478845,8,8,8,8,4.0,8.0,8.0,8.0,8.0,16,8,8,8,8
17,0.13214780142070165,0.002489165185430487,0.12965863623527116,1,1.0033115778548747,1.03085628347085,1,2,2,32,0.0032288805397033852,1,3.5450819576629686,0.11322345469453261,0.04228656953681699,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
18,0.18982383033047948,0.002491770648556711,0.18733205968192276,2,1.601498235051193,1.965209489830497,2,2,2,32,0.0031244965353860146,2,3.5926820892997373,0.17116174502574627,0.030481796018248825,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,2,2,2
19,0.3292642847964171,0.002508432656876616,0.3267558521395405,6,2.8212285075139003,5.9905695148596925,8,8,4,32,0.02683765949872913,8,2.505261010144218,0.032697263685482925,0.027195782429437182,32,16,16,8,4.0,8.0,16.0,32.0,,32,16,16,16,16
20,0.30891652202947856,0.0024801612189940285,0.30643636081048453,6,2.322511465983041,4.592110242388513,8,8,4,32,0.01791314252986544,6,3.207551633241237,0.0781789129272109,0.04875874488430238,16,16,8,8,4.0,4.0,8.0,16.0,,16,16,16,16,16
21,0.06537802550999439,0.0025010406116871393,0.06287698489830724,1,1.0053296435106713,1.04929866267344,1,2,2,32,0.0034211551043677466,1,2.6271051447718317,0.06307059792473965,0.027638847050284875,2,1,1,1,1.0,1.0,1.0,1.0,1.0,2,2,2,2,2
22,0.20711138807690324,0.0024925919184408205,0.20461879615846243,3,1.9818019121063597,2.866088909087115,4,4,2,32,0.004662827735232676,3,3.2762853660962774,0.08227726979396618,0.04170886442270048,4,4,4,4,2.0,4.0,4.0,4.0,4.0,8,8,4,4,4
23,0.07810007227299387,0.002489281456077865,0.075610790816916,2,1.5295081653430005,2.022721985056222,2,4,2,32,0.0064330712390209465,2,2.405184695211086,0.08209803969870567,0.07007565704654341,8,8,2,2,1.0,2.0,2.0,8.0,,8,8,8,8,4
24,0.1415297393441663,0.002496055857668354,0.13903368348649794,4,1.9325820904571174,3.5678399066737048,4,4,2,32,0.02303016830217335,5,2.5919333329613417,0.15168925034816227,0.010859354129738196,32,16,8,4,2.0,4.0,8.0,,,32,8,8,8,8
25,0.14510527483751143,0.0025100377657215883,0.14259523707178984,2,1.3577963137517812,1.8959300904010683,2,2,2,32,0.005582684010431862,2,3.0498565073380752,0.04810351029778785,0.07979406451217291,4,2,2,2,1.0,2.0,2.0,2.0,4.0,8,4,4,4,4
26,0.14393303280514436,0.0024885952570005893,0.14144443754814376,5,2.3478750546846197,4.465897944162107,8,8,4,32,0.027159353232681063,6,2.332286950015482,0.11931208662599081,0.07223253874857438,32,32,16,8,4.0,8.0,32.0,,,32,32,16,16,8
27,0.379007224867818,0.0024954368168871666,0.37651178805093083,6,2.5203453965371936,5.67480722672118,8,8,4,32,0.021536125510898108,8,2.703595120852031,0.022131885015791594,0.07719582969873164,16,16,8,8,4.0,8.0,8.0,16.0,,16,16,16,16,8
28,0.11228017750765393,0.002499543636333924,0.10978063387132,2,1.799984970051231,2.059867572784701,2,4,2,32,0.004216107178825699,2,2.855905784542319,0.12355221170292992,0.049639514050644484,2,2,2,2,2.0,2.0,2.0,2.0,2.0,8,2,2,2,2
29,0.27547092080245483,0.002480883989982176,0.27299003681247264,3,1.6071417162898705,3.6230647026967397,4,4,2,32,0.02562961718727007,7,2.945657594188356,0.10634773145866862,0.06034517857229826,32,16,8,8,4.0,8.0,8.0,32.0,,32,16,8,8,8
30,0.04752728655233944,0.0025137557562322265,0.04501353079610721,1,1.0484374776014036,1.3001356186354365,1,2,2,32,0.004479181473456442,1,2.7204744237749807,0.14756651493419926,0.07882892506037217,4,4,4,2,2.0,2.0,2.0,4.0,32.0,4,4,4,4,4
31,0.19765530259799824,0.0025063571532335507,0.1951489454447647,4,2.0942318239708095,4.416855972714763,4,8,4,32,0.03580743205157976,8,2.618169741687518,0.141621881453557,0.02339308923113603,32,16,8,8,4.0,8.0,32.0,,,32,16,8,8,8
32,0.2429354589585408,0.0024583606542501364,0.24047709830429065,2,1.5175117142254506,3.33144823318371,2,4,2,32,0.030563514284538944,7,2.3788780391453725,0.06897598629861174,0.015188781998969334,32,32,8,8,4.0,8.0,16.0,,,32,32,16,8,8
33,0.24257427789886818,0.0024882708845667774,0.2400860070143014,4,1.9384167527259182,3.844014245400821,4,4,2,32,0.01831251460421905,6,2.7081623986555354,0.10491242368093938,0.059386593212216746,32,16,16,4,2.0,4.0,8.0,32.0,,32,16,16,16,16
34,0.3060793691027588,0.002492129943091201,0.30358723915966757,7,2.602498868858097,5.6295401750945775,8,8,4,32,0.018391427784635508,7,2.601737842806779,0.029230433044826754,0.03526736523253252,16,16,8,8,4.0,8.0,8.0,16.0,,16,16,16,16,8
35,0.18032898768835556,0.0024966117341062833,0.17783237595424928,3,2.212905219671886,2.924831716558463,4,4,4,32,0.004774384689353725,3,2.9809580958683135,0.07518329777735257,0.03098225988137685,8,4,4,4,2.0,2.0,4.0,4.0,4.0,8,8,8,4,4
36,0.0735188770935361,0.0025050867218681383,0.07101379037166797,1,1.0158146287431473,1.1197885521794466,1,2,2,32,0.003866614670522022,1,3.0122201572145415,0.1310567538473385,0.0761139311898635,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1
37,0.5373036182050923,0.00249461304513149,0.5348090051599608,6,2.554112218723911,5.732743663274565,8,8,4,32,0.019225138308390656,8,3.3172686034302865,0.036504390507397046,0.06675822345431567,32,16,16,8,4.0,8.0,8.0,16.0,32.0,16,16,16,16,16
38,0.27203527687253815,0.0024918223417706347,0.2695434545307675,4,1.8148470977512214,3.0593655692026314,4,4,2,32,0.010647435122292694,4,3.641702929811906,0.1404901700116235,0.056687264021555286,8,4,4,4,2.0,4.0,4.0,4.0,8.0,8,8,8,4,4
39,0.11946167555260526,0.002490222951831866,0.11697145260077339,3,1.5587112127476186,2.422076340848548,4,4,2,32,0.01172125428296787,3,2.4489167634877615,0.046548513606151656,0.017840191485080946,32,32,8,4,2.0,4.0,8.0,32.0,,32,32,8,8,8
40,0.20655525689962057,0.002491350233055227,0.20406390666656535,5,2.242711971357131,3.9152768500729915,8,4,4,32,0.017319655414821715,5,2.760123617492554,0.10936582536709029,0.045092749620180415,32,8,8,4,4.0,4.0,8.0,16.0,,32,8,8,8,8
41,0.24115438859330293,0.0024889902754486027,0.23866539831785433,7,2.4707149003509303,5.38393204189994,8,8,4,32,0.030777939870676722,7,2.585287454974419,0.06264876360528936,0.027455908792172287,32,16,16,8,4.0,8.0,16.0,,,32,16,16,16,16
42,0.10629639618094402,0.0025054450948868356,0.1037909510860572,3,2.160089795531139,2.8272806027141932,4,4,4,32,0.008654353745043687,3,2.370624800602607,0.10564218389158178,0.017204212990638415,32,16,4,4,2.0,2.0,4.0,16.0,,16,16,8,8,8
43,0.04540377973081343,0.0024864428497378315,0.042917336881075595,1,1.005183153606888,1.0515581791521886,1,2,2,32,0.0035717048889550356,1,2.368391222711276,0.10807789499685941,0.03120548939866819,8,4,1,1,1.0,1.0,1.0,1.0,8.0,8,8,8,4,4
44,0.19937387885974384,0.002505218025952062,0.1968686608337918,5,2.757470592779644,4.721197610154755,8,8,4,32,0.03257894376573659,7,2.6675999033187456,0.11782788123606132,0.07225923519761847,32,16,8,4,4.0,8.0,16.0,,,32,16,8,8,8
45,0.2638742991477212,0.002507167323938618,0.2613671318237826,1,1.0852693010494026,1.3323263674981851,1,2,2,32,0.004524938047963039,2,3.6465522579966754,0.04133360061368249,0.056219468133764716,2,2,2,2,1.0,1.0,2.0,2.0,2.0,2,2,2,2,2
46,0.07648880769402122,0.0024902573718984253,0.0739985503221228,2,1.3561884091677054,1.839284330496707,2,2,2,32,0.007984142361756142,2,2.7261077324441825,0.1673878625283437,0.03546656186561934,16,8,4,4,1.0,4.0,4.0,16.0,,16,16,4,4,4
47,0.1830816131095884,0.002506359465453819,0.18057525364413457,4,2.1005504128282673,3.906548069721331,4,4,4,32,0.011219183768991626,5,2.660729062139838,0.16342678975598335,0.019105394045961767,16,8,8,4,2.0,4.0,4.0,8.0,32.0,16,16,8,8,8
