target,predictor,n,r2_log2_target,spearman,rmse_log2
penalized_rank_lambda_0.08,gradient_detectable_rank,48,0.5897918211796139,0.7090647153001537,0.99270391083547
penalized_rank_lambda_0.08,predicted_rank_detectable,48,0.5521567792097135,0.6887212614931193,1.0372431549282042
penalized_rank_lambda_0.08,gradient_stable_rank,48,0.4583244509165141,0.6062947645070628,1.1407413685268588
penalized_rank_lambda_0.1,true_k_strong,48,0.6387053997804283,0.7645483386432315,0.8588615383837833
penalized_rank_lambda_0.1,gradient_effective_rank,48,0.6026329770278509,0.7132378451381461,0.9007169395735846
penalized_rank_lambda_0.1,gradient_detectable_rank,48,0.5602662228721329,0.6911628366081043,0.9475177016654599
penalized_rank_lambda_0.1,predicted_rank_detectable,48,0.5391676321183494,0.6864855252415994,0.9699825175873205
penalized_rank_lambda_0.1,gradient_stable_rank,48,0.4435583819651958,0.595179646711041,1.0658650493790127
penalized_rank_lambda_0.15,true_k_strong,48,0.6786923048410076,0.7875771990142089,0.6938326288658075
penalized_rank_lambda_0.15,gradient_effective_rank,48,0.6731472028513661,0.7963789941554912,0.6997940718169333
penalized_rank_lambda_0.15,gradient_detectable_rank,48,0.5973315696886108,0.741915624344469,0.7767261862014995
penalized_rank_lambda_0.15,predicted_rank_detectable,48,0.5772237599113481,0.7315094878840053,0.7958833919645805
penalized_rank_lambda_0.15,gradient_stable_rank,48,0.5080727828477669,0.670384705527906,0.8585084655498708
penalized_rank_lambda_0.2,gradient_effective_rank,48,0.7169742193656568,0.8339093100372394,0.6420705303074269
penalized_rank_lambda_0.2,true_k_strong,48,0.7127091610688505,0.8157235750183213,0.6468902827814034
penalized_rank_lambda_0.2,gradient_detectable_rank,48,0.6483542511381403,0.7894076233447268,0.7156858395961443
penalized_rank_lambda_0.2,predicted_rank_detectable,48,0.6308352113922272,0.781432357499299,0.7332969423285056
penalized_rank_lambda_0.2,gradient_stable_rank,48,0.543240851622798,0.7089071467952938,0.8156678899839199
penalized_rank_lambda_0.3,gradient_effective_rank,48,0.7574207877600421,0.8525399633863111,0.578900430623692
penalized_rank_lambda_0.3,true_k_strong,48,0.7565079094404272,0.8445788820523333,0.579988671858333
penalized_rank_lambda_0.3,gradient_detectable_rank,48,0.6938181731920128,0.8104820384695183,0.6503794147490092
penalized_rank_lambda_0.3,predicted_rank_detectable,48,0.6750861220978808,0.8070539379000813,0.6699790346282033
penalized_rank_lambda_0.3,gradient_stable_rank,48,0.5828525076914309,0.7292065682699199,0.7591400436748587
penalized_rank_lambda_0.5,true_k_strong,48,0.8027757897283203,0.8536907908304071,0.4782523386375598
penalized_rank_lambda_0.5,gradient_effective_rank,48,0.789424328100205,0.8559279896829394,0.49417535972726095
penalized_rank_lambda_0.5,gradient_detectable_rank,48,0.718399999553986,0.8116830829446416,0.571469840232212
penalized_rank_lambda_0.5,predicted_rank_detectable,48,0.7079727008864366,0.8194445573695732,0.581954077464481
penalized_rank_lambda_0.5,gradient_stable_rank,48,0.5923272571147993,0.7086489018671634,0.6875951856421433
recovery_rank_0.5,true_k_strong,48,0.7779416382140039,0.8836634308302576,0.39611339488737585
recovery_rank_0.5,gradient_effective_rank,48,0.7720573553540953,0.8848844230855466,0.4013273471030643
recovery_rank_0.5,predicted_rank_detectable,48,0.6582084267673788,0.8148045611527452,0.4914356277531508
recovery_rank_0.5,gradient_detectable_rank,48,0.6332641900153605,0.801062651218893,0.5090525558570186
recovery_rank_0.5,gradient_stable_rank,48,0.5940816824933247,0.7587030415871645,0.5355564915107788
recovery_rank_0.6,gradient_effective_rank,48,0.8118839935833682,0.8649489539151712,0.3832544617362781
recovery_rank_0.6,true_k_strong,48,0.8082848920840109,0.8603130980450473,0.3869033708526087
recovery_rank_0.6,gradient_detectable_rank,48,0.7775348832743991,0.8564815038107794,0.41677849800779104
recovery_rank_0.6,predicted_rank_detectable,48,0.7134167210798819,0.8156796642365897,0.47304207165181866
recovery_rank_0.6,gradient_stable_rank,48,0.6292227986388919,0.7285991592912416,0.5380601833982963
recovery_rank_0.7,true_k_strong,48,0.8635135044527783,0.9055295675523043,0.4127604192659356
recovery_rank_0.7,gradient_effective_rank,48,0.8419384495829729,0.8792310934559536,0.44418748925129053
recovery_rank_0.7,gradient_detectable_rank,48,0.7228280256798701,0.8008929926012404,0.5882038477907608
