experiment,subset,outcome,model,predictors,n,k,ols_r2,adj_r2,rmse,aic,spearman_first_predictor,abs_spearman_first_predictor
lora_rank,nondiverged,excess_val_loss,rank,log2_rank,60,2,5.825229187905734e-12,-0.017241379304419047,0.05348899056817431,-347.3935315825094,,
lora_rank,nondiverged_drop_top5pct_outcome,excess_val_loss,adapter_frobenius,adapter_frobenius,57,2,0.9575573327792867,0.9567856479207283,0.010431376495485084,-516.1748224965361,-0.6962665283899404,0.6962665283899404
lora_rank,nondiverged_drop_top5pct_outcome,excess_val_loss,adapter_overlap_true,adapter_mean_overlap_true,57,2,0.9502203010742045,0.9493152156391901,0.011297085589746353,-507.08599643262664,-0.8228545501685248,0.8228545501685248
lora_rank,nondiverged_drop_top5pct_outcome,excess_val_loss,log_adapter_frobenius,log10_adapter_frobenius,57,2,0.7837961627415211,0.779865183882276,0.02354355199836628,-423.37497569861307,-0.6962665283899404,0.6962665283899404
lora_rank,nondiverged_drop_top5pct_outcome,excess_val_loss,adapter_detectable_plus_alpha,"adapter_detectable_rank,log2_alpha",57,3,0.7694343689069879,0.7608949010887281,0.024312945214575627,-417.70908330237205,,
lora_rank,nondiverged_drop_top5pct_outcome,excess_val_loss,alpha,log2_alpha,57,2,0.716158128337727,0.7109973670347766,0.02697605989748127,-407.85982427302287,-0.7037971199374174,0.7037971199374174
lora_rank,nondiverged_drop_top5pct_outcome,excess_val_loss,rank_plus_alpha,"log2_rank,log2_alpha",57,3,0.716158128337727,0.7056454664243095,0.026976059897481273,-405.85982427302287,,
lora_rank,nondiverged_drop_top5pct_outcome,excess_val_loss,adapter_detectable,adapter_detectable_rank,57,2,0.5785219937534751,0.5708587572762656,0.03287212235724038,-385.32485701720503,-0.8097735854047963,0.8097735854047963
lora_rank,nondiverged_drop_top5pct_outcome,excess_val_loss,adapter_stable_rank,adapter_stable_rank,57,2,0.539890525449132,0.5315248986391161,0.034345581555895954,-380.3261364025971,-0.629115893181229,0.629115893181229
lora_rank,nondiverged_drop_top5pct_outcome,excess_val_loss,adapter_effective_rank,adapter_effective_rank,57,2,0.3827807993990736,0.3715586321154204,0.03977956229541168,-363.5818289613399,-0.5447886958776251,0.5447886958776251
lora_rank,nondiverged_drop_top5pct_outcome,excess_val_loss,intruder_count,intruder_count,57,2,0.1354400400980581,0.119720768099841,0.04708015082309939,-344.37303238152003,0.31518754028368906,0.31518754028368906
lora_rank,nondiverged_drop_top5pct_outcome,excess_val_loss,intruder_energy,intruder_energy,57,2,0.07999943351121774,0.06327215048414891,0.04856622344886927,-340.8302757480153,0.313711165224126,0.313711165224126
lora_rank,nondiverged_drop_top5pct_outcome,excess_val_loss,gradient_detectable,gradient_detectable_rank,57,2,0.001987124774642135,-0.01615856386581882,0.05058343970943394,-336.1909379364514,-0.05222456718744496,0.05222456718744496
lora_rank,nondiverged_drop_top5pct_outcome,excess_val_loss,rank,log2_rank,57,2,6.842970634579615e-12,-0.01818181817485076,0.05063377253801964,-336.07755913847643,,
lora_rank,nondiverged_val_loss_lt_1,excess_val_loss,adapter_frobenius,adapter_frobenius,60,2,0.9576288850232096,0.9568983485580925,0.011010304964679293,-537.0708350750842,-0.7317588218949709,0.7317588218949709
lora_rank,nondiverged_val_loss_lt_1,excess_val_loss,adapter_overlap_true,adapter_mean_overlap_true,60,2,0.9548912365064126,0.954113499204799,0.01136043244067581,-533.3142554694292,-0.8426785218116146,0.8426785218116146
lora_rank,nondiverged_val_loss_lt_1,excess_val_loss,log_adapter_frobenius,log10_adapter_frobenius,60,2,0.8113120993875067,0.808058859721774,0.023234665702733914,-447.4531883938294,-0.7317588218949709,0.7317588218949709
lora_rank,nondiverged_val_loss_lt_1,excess_val_loss,adapter_detectable_plus_alpha,"adapter_detectable_rank,log2_alpha",60,3,0.790722991271585,0.7833799383337459,0.024469503741588336,-439.239321741181,,
lora_rank,nondiverged_val_loss_lt_1,excess_val_loss,alpha,log2_alpha,60,2,0.746250596108841,0.7418756063865797,0.026944300750147834,-429.67801739006404,-0.7414858863597662,0.7414858863597662
lora_rank,nondiverged_val_loss_lt_1,excess_val_loss,rank_plus_alpha,"log2_rank,log2_alpha",60,3,0.7462505961088409,0.7373471082530108,0.026944300750147834,-427.678017390064,,
lora_rank,nondiverged_val_loss_lt_1,excess_val_loss,adapter_detectable,adapter_detectable_rank,60,2,0.5765441219494429,0.5692431585347781,0.03480715161228979,-398.95188881626575,-0.8100807397798703,0.8100807397798703
lora_rank,nondiverged_val_loss_lt_1,excess_val_loss,adapter_stable_rank,adapter_stable_rank,60,2,0.5701046996853869,0.562692711748928,0.03507080630407765,-398.04634680932253,-0.6554042789663798,0.6554042789663798
lora_rank,nondiverged_val_loss_lt_1,excess_val_loss,adapter_effective_rank,adapter_effective_rank,60,2,0.4041508803582772,0.3938776196747992,0.041288827776747916,-378.4595995037036,-0.58110586273965,0.58110586273965
lora_rank,nondiverged_val_loss_lt_1,excess_val_loss,intruder_count,intruder_count,60,2,0.14947863142595263,0.13481446989881385,0.049329534442394254,-357.1078761430067,0.34337264762346825,0.34337264762346825
lora_rank,nondiverged_val_loss_lt_1,excess_val_loss,intruder_energy,intruder_energy,60,2,0.07577947535815888,0.059844638726403,0.05142238392381526,-352.12180594745934,0.34074004127927215,0.34074004127927215
lora_rank,nondiverged_val_loss_lt_1,excess_val_loss,gradient_detectable,gradient_detectable_rank,60,2,8.431179582635284e-05,-0.017155613862866348,0.053486735644374055,-347.3985905031741,0.001666898196384623,0.001666898196384623
lora_rank,nondiverged_val_loss_lt_1,excess_val_loss,rank,log2_rank,60,2,5.825229187905734e-12,-0.017241379304419047,0.05348899056817431,-347.3935315825094,,
lora_rank,all,final_val_loss,adapter_frobenius,adapter_frobenius,60,2,0.9575789022324022,0.9568475039950298,0.011016964442535087,-536.9982761622493,-0.7318143928869132,0.7318143928869132
lora_rank,all,final_val_loss,adapter_overlap_true,adapter_mean_overlap_true,60,2,0.9548754455444219,0.954097435984843,0.011362593231877717,-533.2914332496476,-0.8450125034731871,0.8450125034731871
lora_rank,all,final_val_loss,log_adapter_frobenius,log10_adapter_frobenius,60,2,0.8112415656890066,0.807987109925024,0.023239360846069253,-447.4289418525695,-0.7318143928869132,0.7318143928869132
lora_rank,all,final_val_loss,adapter_detectable_plus_alpha,"adapter_detectable_rank,log2_alpha",60,3,0.7907568592723658,0.7834149946854313,0.024467895181088915,-439.24721048328524,,
lora_rank,all,final_val_loss,alpha,log2_alpha,60,2,0.7462279347493389,0.7418525543139827,0.026945913003749548,-429.67083722065956,-0.7411508272154553,0.7411508272154553
lora_rank,all,final_val_loss,rank_plus_alpha,"log2_rank,log2_alpha",60,3,0.7462279347493389,0.7373236517580877,0.026945913003749548,-427.67083722065956,,
lora_rank,all,final_val_loss,adapter_detectable,adapter_detectable_rank,60,2,0.5766741447834818,0.5693754231418177,0.034802335829549585,-398.9684927003197,-0.8100807397798703,0.8100807397798703
lora_rank,all,final_val_loss,adapter_stable_rank,adapter_stable_rank,60,2,0.5702308666127966,0.5628210539681897,0.035066192015944825,-398.0621363238313,-0.6540150041678245,0.6540150041678245
lora_rank,all,final_val_loss,adapter_effective_rank,adapter_effective_rank,60,2,0.404234648700038,0.3939628322983144,0.0412865522270879,-378.4662132415779,-0.5798833009169214,0.5798833009169214
lora_rank,all,final_val_loss,intruder_count,intruder_count,60,2,0.1495387947579928,0.1348756705296823,0.04932853868432663,-357.1102984682008,0.34337264762346825,0.34337264762346825
lora_rank,all,final_val_loss,intruder_energy,intruder_energy,60,2,0.07575441375481407,0.059819145026448806,0.05142386191501998,-352.1183569359166,0.34074004127927215,0.34074004127927215
lora_rank,all,final_val_loss,gradient_detectable,gradient_detectable_rank,60,2,7.71746636649695e-05,-0.017162874049030385,0.05348773866716433,-347.39634019560174,0.0,0.0
lora_rank,all,final_val_loss,rank,log2_rank,60,2,5.825229187905734e-12,-0.017241379304419047,0.05348980273560057,-347.3917095374459,,
lora_rank,nondiverged,final_val_loss,adapter_frobenius,adapter_frobenius,60,2,0.9575789022324022,0.9568475039950298,0.011016964442535087,-536.9982761622493,-0.7318143928869132,0.7318143928869132
