target_estimand,target_estimand_version,target_reference,target_denominator,analysis_plan_version,analysis_pair_role,target_transform,predictor_transform,target,target_role,predictor,n,r2_log2_target,spearman,rmse_log2,source_run_id,source_run_path,condition,seed
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),penalized_rank_lambda_0.1,useful_rank,true_k_strong,48,0.7338985761095128,0.8218546021306297,0.5702938485061265,20260622_142008_stage4_hard_s107,source_runs/20260622_142008_stage4_hard_s107,hard_knee,107
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),penalized_rank_lambda_0.15,useful_rank,gradient_effective_rank,48,0.6792354050993145,0.7688232126123229,0.5890145115630157,20260622_142008_stage4_hard_s107,source_runs/20260622_142008_stage4_hard_s107,hard_knee,107
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),penalized_rank_lambda_0.2,useful_rank,predicted_rank_detectable,48,0.6326180950510216,0.7543737735614813,0.5801786726961182,20260622_142008_stage4_hard_s107,source_runs/20260622_142008_stage4_hard_s107,hard_knee,107
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),penalized_rank_lambda_0.3,useful_rank,predicted_rank_detectable,48,0.6959701241996814,0.8222082504975841,0.433482818336843,20260622_142008_stage4_hard_s107,source_runs/20260622_142008_stage4_hard_s107,hard_knee,107
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),recovery_rank_0.5,useful_rank,gradient_stable_rank,48,0.7705179384544153,0.8971037043287697,0.3363739070519478,20260622_142008_stage4_hard_s107,source_runs/20260622_142008_stage4_hard_s107,hard_knee,107
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),recovery_rank_0.7,useful_rank,gradient_stable_rank,48,0.7663143803370597,0.809026119238796,0.3416743826822099,20260622_142008_stage4_hard_s107,source_runs/20260622_142008_stage4_hard_s107,hard_knee,107
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),recovery_rank_0.8,useful_rank,gradient_effective_rank,48,0.7718104284029548,0.8456177059901292,0.3895256328074026,20260622_142008_stage4_hard_s107,source_runs/20260622_142008_stage4_hard_s107,hard_knee,107
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),recovery_rank_0.9,useful_rank,predicted_rank_detectable,48,0.7194808730395894,0.8728584560473706,0.5155453449224977,20260622_142008_stage4_hard_s107,source_runs/20260622_142008_stage4_hard_s107,hard_knee,107
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),recovery_rank_0.95,useful_rank,true_k_strong,48,0.7290651559696901,0.8227530995330303,0.6284868502702275,20260622_142008_stage4_hard_s107,source_runs/20260622_142008_stage4_hard_s107,hard_knee,107
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),near_best_rank_gap_0.02,useful_rank,gradient_detectable_rank,48,0.5071951548419769,0.7265588495178014,1.0195637401630195,20260622_142318_stage4_hard_s109,source_runs/20260622_142318_stage4_hard_s109,hard_knee,109
