experiment,seed,rep,overlap,rank,single_a_loss,single_b_loss,merge_a_loss,merge_b_loss,mean_single_loss,mean_merge_loss,merge_degradation,forgetting_merge,spectral_interference,edge_a,edge_b,detectable_rank_a,detectable_rank_b,stable_rank_a,stable_rank_b
merge,17,0,0.5,8,0.0015957025464903227,0.0016033084855620972,0.06690420398874945,0.06681216466771671,0.0015995055160262098,0.06685818432823308,0.06525867881220687,0.0945911239920535,0.04794621890365318,0.8102875914950255,0.8071639811004788,6,6,2.6462901535853307,2.648613706946648
merge,17,1,0.5,8,0.0016088379220500582,0.0016027715939408295,0.05891673234234062,0.058598271992035725,0.001605804757995444,0.05875750216718817,0.05715169740919272,0.10273382933517435,0.04770059619874281,0.8099460103463102,0.8158139883977343,6,6,2.6533466487601727,2.658996441018605
merge,17,2,0.5,8,0.001578772141367152,0.001605831288927035,0.09066038300361882,0.08906695128677873,0.0015923017151470934,0.08986366714519878,0.08827136543005168,0.0721268934481704,0.04788316478047891,0.8226919258968909,0.8184253501384927,6,6,2.6514216576216985,2.6631367671786856
merge,17,3,0.5,8,0.0015817641777463188,0.0016071130101838681,0.05007927789856952,0.05021634739182531,0.0015944385939650934,0.050147812645197416,0.04855337405123232,0.11119434402268238,0.047705421980067136,0.8201175602102347,0.8278734958088763,6,6,2.6649100503415624,2.6563998116413154
merge,17,4,0.5,8,0.0016237733071546396,0.0016126031177192096,0.058508686346458616,0.05649761063121811,0.0016181882124369246,0.05750314848883836,0.05588496027640144,0.10710170198682759,0.047531904216864776,0.8424020577796179,0.8201088022616184,6,6,2.647565720779861,2.6551344956897416
merge,17,5,0.5,8,0.001631184455189879,0.0016348805817026771,0.09547525867547436,0.09408120499874233,0.001633032518446278,0.09477823183710835,0.09314519931866207,0.0692316344071291,0.047921174822878373,0.8158674297722571,0.8144326827454974,6,6,2.6568671720845733,2.658255419494966
merge,17,6,0.5,8,0.0016031086570621428,0.0016220093620737152,0.0803187297931174,0.07921838969811719,0.0016125590095679289,0.07976855974561729,0.07815600073604936,0.08146193392073141,0.04806194772847954,0.8267162536450804,0.8298266246711351,6,6,2.655647029012695,2.65896155628301
merge,17,7,0.5,8,0.0016057429016960857,0.001601138513471342,0.06837181567659022,0.07099112764313695,0.0016034407075837139,0.06968147165986358,0.06807803095227986,0.09361772855027999,0.047859483331030746,0.8206967944466175,0.8071206835291277,6,6,2.645081801776679,2.6652165093015063
merge,17,0,0.75,8,0.0016446005451871408,0.0016040519684747752,0.06999064637759599,0.07119691650982161,0.0016243262568309581,0.0705937814437088,0.06896945518687785,0.09158247509371839,0.10755563556390248,0.8244994661363942,0.8080761518284031,6,6,2.6531919384465263,2.6503302177933645
merge,17,1,0.75,8,0.0015627911277454893,0.0016258139868804825,0.09122822175851147,0.08998228445766535,0.0015943025573129858,0.09060525310808841,0.08901095055077543,0.06903851528173513,0.10726329447499636,0.8203136151538624,0.8193626463929545,6,6,2.6555099506197593,2.6495458339735336
merge,17,2,0.75,8,0.001591688370556645,0.001567484365970392,0.05406375719787037,0.05339759650153895,0.0015795863682635186,0.05373067684970466,0.05215109048144114,0.10860186736428001,0.10741170212615005,0.8044004529860523,0.8114439480272368,6,6,2.667394819626434,2.657331811318335
merge,17,3,0.75,8,0.0015702659129774273,0.0015930314904024402,0.06430581782411454,0.06588006672570049,0.0015816487016899338,0.06509294227490751,0.06351129357321758,0.09858048477048625,0.10767533758992566,0.8109747860476996,0.826902721725912,6,6,2.6445394695154594,2.653373936341504
merge,17,4,0.75,8,0.0015836354891094289,0.0016297963828833374,0.08761957077948253,0.08723937044211685,0.0016067159359963831,0.0874294706107997,0.08582275467480331,0.07540257669252312,0.10769305850817444,0.8128550013485857,0.8137099995103098,6,6,2.656168841695277,2.6573622443275315
merge,17,5,0.75,8,0.0015967911208816976,0.0015888786290907584,0.1028152037534309,0.10621683440835701,0.001592834874986228,0.10451601908089395,0.10292318420590772,0.05971839126099701,0.10778580464562325,0.8142330019963726,0.8135493206863336,6,6,2.6561668425999745,2.653792663698709
merge,17,6,0.75,8,0.0015751222405418442,0.0015928541833565943,0.13201067061337915,0.13445281728359504,0.0015839882119492192,0.13323174394848708,0.13164775573653786,0.03065310618482088,0.10748180372907232,0.8184856212358946,0.8138406891910478,6,6,2.654341398863431,2.6640046448350443
merge,17,7,0.75,8,0.0015679931728852959,0.0015887423551518539,0.028121853146869442,0.028252974238259822,0.0015783677640185748,0.028187413692564632,0.026609045928546057,0.13774075253954243,0.10775057766068045,0.8141952742406121,0.8090973638973007,6,6,2.64631360916422,2.6494589754427684
merge,17,0,0.9,8,0.0016115329205818021,0.0016276850139793613,0.0625555859261054,0.06133035183916201,0.0016196089672805818,0.0619429688826337,0.06032335991535312,0.09979830501301709,0.15485106810485483,0.8107824365843705,0.8024900121197227,6,6,2.6602685990905877,2.651273281580354
merge,17,1,0.9,8,0.0015881499745497155,0.0016081247793690652,0.07259956643813838,0.0698372084176146,0.0015981373769593903,0.07121838742787648,0.06962025005091708,0.09091231304789874,0.1549413473177317,0.8109508937241129,0.7957258478882597,6,6,2.653836651230481,2.65319362395375
