layer,base_val_loss,oracle_val_loss,improvement_gap,gradient_detectable_rank,gradient_stable_rank,gradient_effective_rank,predicted_rank_detectable,predicted_rank_effective,predicted_rank_stable,best_rank,best_val_loss,true_k_strong,spike_peak,spike_decay,weak_factor,near_best_rank_gap_0.02,near_best_rank_gap_0.05,near_best_rank_gap_0.1,near_best_rank_gap_0.2,recovery_rank_0.5,recovery_rank_0.7,recovery_rank_0.8,recovery_rank_0.9,recovery_rank_0.95,penalized_rank_lambda_0.05,penalized_rank_lambda_0.1,penalized_rank_lambda_0.15,penalized_rank_lambda_0.2,penalized_rank_lambda_0.3
32,0.19664866878567377,0.01446850698276051,0.18218016180291327,4,2.2966620464298138,4.551195716839099,4,8,4,32,0.042037705672009956,6,2.7948631031552846,0.17511621079972745,0.1971059789785708,32,8,8,4,2.0,4.0,16.0,,,16,16,8,8,8
33,0.039920890673134764,0.014410938999123242,0.025509951674011523,2,1.2115540170636896,2.544489916199072,2,4,2,32,0.019771362169589086,1,1.7169197547429527,0.08276919693643921,0.17143996006916723,8,4,2,1,1.0,2.0,,,,8,8,4,4,4
34,0.040285443676493025,0.01439968236102812,0.025885761315464904,1,1.1166666149338438,2.0981593033684707,1,4,2,32,0.019934033517148075,1,1.8429525099986308,0.2863971472533809,0.07531923562258987,32,32,4,1,1.0,16.0,,,,32,32,1,1,1
35,0.057132122793775234,0.01439390137033785,0.04273822142343738,1,1.028862498945496,1.2596720375913515,1,2,2,32,0.016293673413849963,1,2.150323806749768,0.12202669777157231,0.08870130693225212,1,1,1,1,1.0,1.0,1.0,1.0,8.0,4,1,1,1,1
36,0.11858628805772829,0.014465072697419994,0.1041212153603083,3,1.6688591787320648,2.8751515625641026,4,4,2,32,0.022572734373869172,3,2.6785814825229433,0.27964922456498587,0.11995895507203823,16,8,4,2,2.0,2.0,4.0,16.0,,16,8,8,4,4
37,0.10259057596564108,0.014445831569054268,0.08814474439658682,4,2.098910104952685,3.8888963517388286,4,4,4,32,0.03535909104458261,4,1.8862837302736828,0.05220015960322487,0.06274046793485177,32,16,16,8,8.0,16.0,,,,32,16,16,16,16
38,0.09794793420393505,0.014399158972499672,0.08354877523143538,1,1.023108896414221,1.1915895624946138,1,2,2,16,0.019722209195557134,1,2.764711788349471,0.13465949456119386,0.16933503949629003,1,1,1,1,1.0,1.0,1.0,1.0,,2,2,1,1,1
39,0.1339122817852395,0.01442878438237639,0.11948349740286311,1,1.0391379436312904,1.2857705622896913,1,2,2,32,0.023113730786691898,1,3.371615522899149,0.2443726742929137,0.23732584738103318,1,1,1,1,1.0,1.0,1.0,1.0,,1,1,1,1,1
40,0.04798355846203712,0.014391890259192101,0.03359166820284502,1,1.0981935345801763,1.798201886061655,1,2,2,32,0.018870266989922016,1,2.1772373066384745,0.24823778990092094,0.1568481074672366,32,8,1,1,1.0,1.0,2.0,,,16,8,2,2,2
41,0.0737812611563214,0.014431452322737976,0.05934980883358343,3,1.625531491008318,3.289466650968004,4,4,2,32,0.025702733058168274,2,1.961040068653313,0.09213247032735962,0.20824811692935552,32,16,8,4,2.0,8.0,32.0,,,32,8,8,8,8
42,0.10530699091277318,0.014365305328019898,0.09094168558475328,3,1.3558228929011122,2.48328407005037,4,4,2,32,0.03417631557108602,4,1.8952675058873045,0.1286106197859735,0.07364883470633549,32,16,4,2,2.0,4.0,,,,32,8,8,4,4
43,0.18022649266845586,0.014349790937795245,0.1658767017306606,2,1.3155188265432882,1.86230949549886,2,2,2,32,0.018895288352359985,2,3.3771663191564434,0.2375533163073446,0.14249948634275525,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,2,2,2
44,0.10343516806185832,0.014422346227085686,0.08901282183477263,4,1.7452642559279876,3.9001876041143135,4,4,2,32,0.04082177458723868,6,1.8891467939773896,0.1739016646553116,0.21956139043699135,32,16,8,2,2.0,32.0,,,,32,8,8,8,8
45,0.17831852141584137,0.014358992817157409,0.16395952859868396,4,1.7029060184831921,3.5405053932666304,4,4,2,32,0.033880463391211424,5,2.3123339938950034,0.07240475144824814,0.22885217480836373,32,32,16,4,2.0,8.0,16.0,,,32,32,16,8,8
46,0.09583407853360136,0.01440735706988388,0.08142672146371747,4,1.725461378540085,4.144828388294397,4,8,2,32,0.04518211517746446,6,1.7916055257298191,0.14398285842435743,0.13487793408228627,32,32,16,4,16.0,,,,,32,32,16,16,16
47,0.21987720917208814,0.014434510140729006,0.20544269903135914,5,2.104924829181195,4.551393671308439,8,8,4,32,0.03787653922953933,6,2.879049724422222,0.14852363255075246,0.11728158063793151,32,8,8,4,2.0,4.0,8.0,,,16,8,8,8,8
