target,predictor,n,r2_log2_target,spearman,rmse_log2
recovery_rank_0.7,predicted_rank_stable,46,0.068121104185218,0.26207123707382135,1.2180704627294403
recovery_rank_0.8,gradient_effective_rank,36,0.5457903815725824,0.6630414543022345,1.0369393135180218
recovery_rank_0.8,predicted_rank_effective,36,0.46877705345501963,0.6684932170497174,1.121407845324597
recovery_rank_0.8,true_k_strong,36,0.4092032029119602,0.665077741479454,1.182617341248898
recovery_rank_0.8,gradient_detectable_rank,36,0.3403281177026798,0.5873116609862159,1.2496522154727452
recovery_rank_0.8,gradient_stable_rank,36,0.32886898717409674,0.5413096367093277,1.260459311292627
recovery_rank_0.8,predicted_rank_detectable,36,0.28716111007636436,0.5013110343833694,1.2990350509097373
recovery_rank_0.8,predicted_rank_stable,36,0.09778357235984347,0.32378749819824715,1.461438493107323
recovery_rank_0.9,true_k_strong,18,0.8123670607167294,0.8899476677144222,0.823845628668698
recovery_rank_0.9,gradient_detectable_rank,18,0.6058555037910045,0.6515001223320269,1.1940404349773646
recovery_rank_0.9,predicted_rank_detectable,18,0.5853242320819112,0.6729542209634656,1.224744871391589
recovery_rank_0.9,gradient_effective_rank,18,0.558828025678611,0.5930687380829133,1.2632673122403275
recovery_rank_0.9,predicted_rank_effective,18,0.42005775794171707,0.6319695884106158,1.4483838456992093
recovery_rank_0.9,gradient_stable_rank,18,0.31052662901635963,0.431897304820594,1.5792469595465806
recovery_rank_0.9,predicted_rank_stable,18,0.0006825938566551448,-0.07332355751067664,1.9012666343295501
recovery_rank_0.95,predicted_rank_effective,5,0.33333333333333337,0.5773502691896257,1.1547005383792515
recovery_rank_0.95,predicted_rank_detectable,5,0.22499999999999998,0.47434164902525683,1.2449899597988732
recovery_rank_0.95,gradient_effective_rank,5,0.20736196711356192,0.19999999999999998,1.2590774661524509
recovery_rank_0.95,gradient_detectable_rank,5,0.1848996059232194,0.47434164902525683,1.2767931657686618
recovery_rank_0.95,true_k_strong,5,0.1848996059232194,0.47434164902525683,1.2767931657686618
recovery_rank_0.95,gradient_stable_rank,5,0.18480577939270015,0.19999999999999998,1.27686664973857
recovery_rank_0.95,predicted_rank_stable,5,0.0,0.0,1.4142135623730951
