target,predictor,n,r2_log2_target,spearman,rmse_log2,run_dir,condition,seed
recovery_rank_0.7,gradient_detectable_rank,48,0.8366864451644868,0.9122715649467232,0.4151945689723709,runs/20260612_160944_stage4_hard_s101,hard_knee,101
recovery_rank_0.8,gradient_detectable_rank,47,0.871230291655737,0.936885202006032,0.4612702340460661,runs/20260612_160944_stage4_hard_s101,hard_knee,101
recovery_rank_0.85,true_k_strong,45,0.8457216624378086,0.9249234667819334,0.559169709592751,runs/20260612_160944_stage4_hard_s101,hard_knee,101
recovery_rank_0.9,gradient_effective_rank,42,0.8755033280301274,0.9268558147103462,0.5096282452211336,runs/20260612_160944_stage4_hard_s101,hard_knee,101
recovery_rank_0.95,gradient_effective_rank,33,0.6819465200094845,0.833011141704502,0.9909117782041742,runs/20260612_160944_stage4_hard_s101,hard_knee,101
near_best_rank_gap_0.02,gradient_detectable_rank,48,0.7305658264972714,0.7793959341104622,0.8092433053560445,runs/20260612_165048_stage4_hard_s103,hard_knee,103
near_best_rank_gap_0.05,gradient_detectable_rank,48,0.7748908808831961,0.8161995398017111,0.6198149702787348,runs/20260612_165048_stage4_hard_s103,hard_knee,103
near_best_rank_gap_0.1,gradient_effective_rank,48,0.8376361944056026,0.8534586334995709,0.4866010170819241,runs/20260612_165048_stage4_hard_s103,hard_knee,103
near_best_rank_gap_0.2,gradient_effective_rank,48,0.8061299510855172,0.8362600348909482,0.3959319510527598,runs/20260612_165048_stage4_hard_s103,hard_knee,103
near_best_rank_gap_0.5,gradient_stable_rank,48,0.6827859655465064,0.8347528991854386,0.3566735833605938,runs/20260612_165048_stage4_hard_s103,hard_knee,103
penalized_rank_lambda_0.03,gradient_detectable_rank,48,0.579224955535546,0.7510693784060796,0.8098255086487891,runs/20260612_165048_stage4_hard_s103,hard_knee,103
penalized_rank_lambda_0.05,gradient_detectable_rank,48,0.7523958328469499,0.8133822741514737,0.7179221034042871,runs/20260612_165048_stage4_hard_s103,hard_knee,103
penalized_rank_lambda_0.08,gradient_detectable_rank,48,0.73298005785656,0.7893294005424799,0.6876393053137246,runs/20260612_165048_stage4_hard_s103,hard_knee,103
penalized_rank_lambda_0.1,gradient_detectable_rank,48,0.7320712331187358,0.7847095753308116,0.665102667127104,runs/20260612_165048_stage4_hard_s103,hard_knee,103
penalized_rank_lambda_0.15,gradient_detectable_rank,48,0.7608665505182237,0.7934111675121005,0.6009054477162736,runs/20260612_165048_stage4_hard_s103,hard_knee,103
penalized_rank_lambda_0.2,gradient_effective_rank,48,0.7368072122830096,0.7935530690915613,0.5969982412314333,runs/20260612_165048_stage4_hard_s103,hard_knee,103
penalized_rank_lambda_0.3,gradient_effective_rank,48,0.7191260612785921,0.7874311231404861,0.5697706420614956,runs/20260612_165048_stage4_hard_s103,hard_knee,103
penalized_rank_lambda_0.5,gradient_detectable_rank,48,0.7838043982132432,0.7830094269882099,0.4345064003866649,runs/20260612_165048_stage4_hard_s103,hard_knee,103
recovery_rank_0.5,gradient_stable_rank,48,0.699791781796631,0.8404084402547066,0.3681177176531058,runs/20260612_165048_stage4_hard_s103,hard_knee,103
recovery_rank_0.6,gradient_effective_rank,48,0.7268946288874552,0.8709160172050925,0.4396943285443455,runs/20260612_165048_stage4_hard_s103,hard_knee,103
recovery_rank_0.7,gradient_effective_rank,48,0.7302293727086653,0.8442915844599223,0.4853668170532736,runs/20260612_165048_stage4_hard_s103,hard_knee,103
recovery_rank_0.8,gradient_effective_rank,48,0.7433109705613405,0.8557138858566685,0.6519430917179446,runs/20260612_165048_stage4_hard_s103,hard_knee,103
recovery_rank_0.85,gradient_effective_rank,45,0.8844431944591917,0.9258602126583536,0.4729642158676938,runs/20260612_165048_stage4_hard_s103,hard_knee,103
recovery_rank_0.9,gradient_effective_rank,38,0.7961595606146958,0.8651171512970948,0.6762917380570723,runs/20260612_165048_stage4_hard_s103,hard_knee,103
recovery_rank_0.95,predicted_rank_whitened_effective,26,0.3627939962563797,0.5700264259843578,1.1926450265038062,runs/20260612_165048_stage4_hard_s103,hard_knee,103
near_best_rank_gap_0.02,true_k_strong,48,0.5232954810526426,0.70566784267401,0.8611273789672469,runs/20260612_173148_stage4_hard_s107,hard_knee,107
near_best_rank_gap_0.05,predicted_rank_detectable,48,0.7127443965018575,0.7824560946392957,0.6032676884361189,runs/20260612_173148_stage4_hard_s107,hard_knee,107
near_best_rank_gap_0.1,predicted_rank_detectable,48,0.8009500998557942,0.9052884263564728,0.375376192749335,runs/20260612_173148_stage4_hard_s107,hard_knee,107
near_best_rank_gap_0.2,gradient_stable_rank,48,0.8245544268062722,0.8932566413469372,0.322637041939579,runs/20260612_173148_stage4_hard_s107,hard_knee,107
