condition,target,predictor,n_runs,mean_r2,sem_r2,mean_spearman,sem_spearman,mean_rmse_log2
sample_limited,near_best_rank_gap_0.2,gradient_detectable_rank,5,0.5539603789657837,0.08433268800505539,0.6729358451623846,0.06684384092527727,0.53528656754968
sample_limited,near_best_rank_gap_0.2,whitened_gradient_detectable_rank,5,0.5539603789657837,0.08433268800505539,0.6729358451623846,0.06684384092527727,0.53528656754968
sample_limited,near_best_rank_gap_0.2,raw_gradient_detectable_rank,5,0.5497378153048277,0.07513050461214704,0.7013302300444266,0.05304054489210761,0.5423027503079554
sample_limited,near_best_rank_gap_0.2,gradient_effective_rank,5,0.5483447128027827,0.06963282264908349,0.6978947811460705,0.05683115874280309,0.5448123976853234
sample_limited,near_best_rank_gap_0.2,whitened_gradient_effective_rank,5,0.5483447128027827,0.06963282264908349,0.6978947811460705,0.05683115874280309,0.5448123976853234
sample_limited,near_best_rank_gap_0.2,true_k_strong,5,0.515916089801342,0.08243745252572011,0.613017158959235,0.07958596293956353,0.5610248409090512
sample_limited,near_best_rank_gap_0.2,predicted_rank_raw_detectable,5,0.5129958082314726,0.06751315369364308,0.6832642703739682,0.047245363655579756,0.567780237676104
sample_limited,near_best_rank_gap_0.2,predicted_rank_detectable,5,0.5028806264813107,0.08751532111144085,0.6285317535016498,0.07596878505232421,0.5675792460098459
sample_limited,near_best_rank_gap_0.2,predicted_rank_whitened_detectable,5,0.5028806264813107,0.08751532111144085,0.6285317535016498,0.07596878505232421,0.5675792460098459
sample_limited,near_best_rank_gap_0.2,predicted_rank_raw_effective,5,0.4515738257078123,0.07172555839534354,0.6329939509150936,0.061388521065453824,0.6040943206432238
sample_limited,near_best_rank_gap_0.2,predicted_rank_whitened_effective,5,0.42836309943951295,0.048812944284860986,0.6300702289110716,0.04663108127801912,0.6220585373315872
sample_limited,penalized_rank_lambda_0.2,gradient_effective_rank,5,0.5543571700966357,0.060056844813422584,0.6742768615910762,0.049354400830226894,0.6533388490617178
sample_limited,penalized_rank_lambda_0.2,whitened_gradient_effective_rank,5,0.5543571700966357,0.060056844813422584,0.6742768615910762,0.049354400830226894,0.6533388490617178
sample_limited,penalized_rank_lambda_0.2,predicted_rank_whitened_effective,5,0.4959852497506107,0.024205015020956976,0.6663425621827852,0.0356704298705042,0.7001928069449173
sample_limited,penalized_rank_lambda_0.2,raw_gradient_effective_rank,5,0.4917552193930569,0.05989007687376811,0.6248444900300176,0.05038619879797668,0.6976680708669359
sample_limited,penalized_rank_lambda_0.2,gradient_detectable_rank,5,0.4808608525788662,0.06988832442062994,0.5898352896559779,0.06339811241132202,0.7001291813161347
sample_limited,penalized_rank_lambda_0.2,whitened_gradient_detectable_rank,5,0.4808608525788662,0.06988832442062994,0.5898352896559779,0.06339811241132202,0.7001291813161347
sample_limited,penalized_rank_lambda_0.2,predicted_rank_detectable,5,0.4478294132486134,0.07081918889163129,0.5583679654985261,0.0682664131370813,0.7233815123914009
sample_limited,penalized_rank_lambda_0.2,predicted_rank_whitened_detectable,5,0.4478294132486134,0.07081918889163129,0.5583679654985261,0.0682664131370813,0.7233815123914009
sample_limited,penalized_rank_lambda_0.2,true_k_strong,5,0.44548761029653033,0.07385992540335914,0.539471755556304,0.07662650168770176,0.724079469314513
sample_limited,penalized_rank_lambda_0.2,raw_gradient_detectable_rank,5,0.4422381982662632,0.05055006010729715,0.5858609680533614,0.03613177682826677,0.7313496020983828
sample_limited,penalized_rank_lambda_0.2,predicted_rank_raw_detectable,5,0.4315342736724805,0.05486525308240876,0.599060453434711,0.04871902515063063,0.7378477546940235
sample_limited,penalized_rank_lambda_0.2,predicted_rank_raw_effective,5,0.3688031184085991,0.06822450112716993,0.5381118299510491,0.06293707087996968,0.7773626688647461
sample_limited,penalized_rank_lambda_0.3,gradient_effective_rank,5,0.5742559129571096,0.036659092918924926,0.7028905727416926,0.018749890220263025,0.5880584481612953
sample_limited,penalized_rank_lambda_0.3,whitened_gradient_effective_rank,5,0.5742559129571096,0.036659092918924926,0.7028905727416926,0.018749890220263025,0.5880584481612953
sample_limited,penalized_rank_lambda_0.3,raw_gradient_effective_rank,5,0.5274203350161447,0.04167920781008218,0.6725931297411366,0.0296255706263329,0.6187651007936762
sample_limited,penalized_rank_lambda_0.3,predicted_rank_whitened_effective,5,0.5247533373432685,0.006631035927083867,0.6898494528743078,0.018694464271669604,0.6250796641594727
sample_limited,penalized_rank_lambda_0.3,gradient_detectable_rank,5,0.5087055292429404,0.06070726310176448,0.6231338641683349,0.04679212704477504,0.6255150893822287
sample_limited,penalized_rank_lambda_0.3,whitened_gradient_detectable_rank,5,0.5087055292429404,0.06070726310176448,0.6231338641683349,0.04679212704477504,0.6255150893822287
sample_limited,penalized_rank_lambda_0.3,predicted_rank_detectable,5,0.5015098272789633,0.054018010588879346,0.6280724939177686,0.044106880844426426,0.6315813582427146
sample_limited,penalized_rank_lambda_0.3,predicted_rank_whitened_detectable,5,0.5015098272789633,0.054018010588879346,0.6280724939177686,0.044106880844426426,0.6315813582427146
sample_limited,penalized_rank_lambda_0.3,true_k_strong,5,0.4777569043144842,0.05953632886786657,0.5838623713712682,0.04840852407358316,0.6457171647774238
sample_limited,penalized_rank_lambda_0.3,raw_gradient_detectable_rank,5,0.4711630617988546,0.050932202676201306,0.6198606020479944,0.04683592661457848,0.6524579341094283
sample_limited,penalized_rank_lambda_0.3,predicted_rank_raw_detectable,5,0.4546911910102146,0.05316541847194781,0.6258503376743934,0.05435210477161785,0.6616005853970647
sample_limited,penalized_rank_lambda_0.3,predicted_rank_raw_effective,5,0.38143966448945366,0.042530356947965475,0.5666076153656234,0.036756113030227,0.7083268043591903
sample_limited,recovery_rank_0.7,gradient_effective_rank,5,0.6216992390723037,0.034025415254631854,0.7837830819909156,0.02565890390212965,0.758692279610915
sample_limited,recovery_rank_0.7,whitened_gradient_effective_rank,5,0.6216992390723037,0.034025415254631854,0.7837830819909156,0.02565890390212965,0.758692279610915
sample_limited,recovery_rank_0.7,raw_gradient_effective_rank,5,0.5276856499183034,0.042365970077475,0.703887540900361,0.028220597305150755,0.850072220359823
sample_limited,recovery_rank_0.7,predicted_rank_whitened_effective,5,0.48566469505599025,0.041311403743555124,0.7144780501443015,0.032350877048963333,0.889578467652646
sample_limited,recovery_rank_0.7,gradient_detectable_rank,5,0.42580539397462164,0.0917835180313741,0.6373213757079871,0.06535593662706385,0.9225117468149951
sample_limited,recovery_rank_0.7,whitened_gradient_detectable_rank,5,0.42580539397462164,0.0917835180313741,0.6373213757079871,0.06535593662706385,0.9225117468149951
sample_limited,recovery_rank_0.7,predicted_rank_detectable,5,0.3953299613213983,0.08572140372133158,0.6085392899790314,0.06361656494316409,0.9504992915188424
sample_limited,recovery_rank_0.7,predicted_rank_whitened_detectable,5,0.3953299613213983,0.08572140372133158,0.6085392899790314,0.06361656494316409,0.9504992915188424
sample_limited,recovery_rank_0.7,true_k_strong,5,0.380731130992481,0.09021451451326627,0.578130786736781,0.06472911799495926,0.9613784908897849
sample_limited,recovery_rank_0.7,predicted_rank_raw_effective,5,0.36014964108381886,0.05390448157438872,0.5858711624389585,0.04942794739043998,0.9889655430238194
sample_limited,recovery_rank_0.7,raw_gradient_detectable_rank,5,0.3421003562671327,0.062235691512931235,0.547662419641864,0.064212335584508,1.0018389310805254
sample_limited,recovery_rank_0.7,predicted_rank_raw_detectable,5,0.3189518898611013,0.05616902779582681,0.5505681717894161,0.05583322003851726,1.0214130863479622
sample_limited,recovery_rank_0.8,gradient_effective_rank,5,0.5840108117215673,0.053107522536464884,0.7178385655921218,0.041034607437324844,0.9455332953338264
sample_limited,recovery_rank_0.8,whitened_gradient_effective_rank,5,0.5840108117215673,0.053107522536464884,0.7178385655921218,0.041034607437324844,0.9455332953338264
sample_limited,recovery_rank_0.8,predicted_rank_whitened_effective,5,0.5137088365008214,0.03771858489638085,0.7073536493946795,0.02870687093443647,1.0202953438728766
sample_limited,recovery_rank_0.8,raw_gradient_effective_rank,5,0.4097855053027558,0.059573169741149574,0.5735589875966103,0.05876188848359081,1.1259376108866903
sample_limited,recovery_rank_0.8,gradient_detectable_rank,5,0.3749766186581449,0.044380232936365276,0.5867885438026132,0.036925772462405325,1.162954205669839
sample_limited,recovery_rank_0.8,whitened_gradient_detectable_rank,5,0.3749766186581449,0.044380232936365276,0.5867885438026132,0.036925772462405325,1.162954205669839
sample_limited,recovery_rank_0.8,predicted_rank_detectable,5,0.35934620637857717,0.026012062578658707,0.5771561385206317,0.027830414559682944,1.177778907319881
sample_limited,recovery_rank_0.8,predicted_rank_whitened_detectable,5,0.35934620637857717,0.026012062578658707,0.5771561385206317,0.027830414559682944,1.177778907319881
sample_limited,recovery_rank_0.8,true_k_strong,5,0.35546768916955446,0.05864963054504835,0.5481047236765904,0.05950636557229299,1.179003047007074
