rule,budget,n_runs,mean_loss_delta,sem_loss_delta,median_loss_delta,mean_acc_delta,sem_acc_delta,median_acc_delta,mean_loss_ratio,task,task_family
marginal_gain_edge,1024,3,-0.0363483995897695,0.0396163443252284,-0.002437055693008,0.0,0.0,0.0,0.8271416969456163,assoc,assoc
marginal_gain_edge,1536,3,-0.0077493839392749,0.0070534220410087,-0.0011300821206533,0.0,0.0,0.0,0.6789023670092429,assoc,assoc
marginal_gain_edge,2048,3,-0.0024501189764123,0.0005915206966148,-0.0019206694414607,0.0,0.0,0.0,0.486828230213047,assoc,assoc
marginal_gain_edge,3072,3,-0.0006006827170495,0.0002493021909073,-0.0007877460011514,0.0,0.0,0.0,0.7229103644555125,assoc,assoc
marginal_gain_edge,4096,3,-0.0005252454526877,0.0001499951651837,-0.0005273185670376,0.0,0.0,0.0,0.7047568897094414,assoc,assoc
marginal_gain_edge,6144,3,-0.0002392313399468,6.088364066266668e-05,-0.0002318461192772,0.0,0.0,0.0,0.8032801814852165,assoc,assoc
marginal_gain_soft,512,3,-0.4010567665100097,0.322346726844387,-0.125000100582838,0.16796875,0.1674807060099145,0.0009765625,0.616833288230097,assoc,assoc
marginal_gain_soft,1024,3,-0.0423168353348349,0.0424481947672621,-0.0014549476327374,0.0,0.0,0.0,0.7045254358233901,assoc,assoc
marginal_gain_soft,1536,3,-0.0087228907893101,0.0067742681352254,-0.0032369330292568,0.0,0.0,0.0,0.5677447999707109,assoc,assoc
marginal_gain_soft,2048,3,-0.0021452268313927,0.0004330351294227,-0.0018887427868322,0.0,0.0,0.0,0.5488110122603626,assoc,assoc
marginal_gain_soft,3072,3,-0.0004873875683794,0.0001772868335303,-0.0004010880657005,0.0,0.0,0.0,0.7658055629960842,assoc,assoc
marginal_gain_soft,4096,3,-0.0001973491356087,0.0002221695081658,-0.0002245324576506,0.0,0.0,0.0,0.8973591934054145,assoc,assoc
marginal_gain_soft,6144,3,-1.1304820266833365e-05,8.471431191475543e-05,4.100598744119998e-05,0.0,0.0,0.0,0.9927280051847212,assoc,assoc
soft_dimension,512,3,-0.30447635302941,0.39662383000869,-0.0566549524664878,0.146484375,0.1792207266696609,0.0009765625,0.8822307650419337,assoc,assoc
soft_dimension,1024,3,-0.0437825185557206,0.0421853737515802,-0.0029871892184018,0.0,0.0,0.0,0.6510469560654301,assoc,assoc
soft_dimension,1536,3,0.1532449048827402,0.151881007100343,0.0025589568540453,-0.0361328125,0.0361328125,0.0,17.66460722010759,assoc,assoc
soft_dimension,2048,3,-0.0021884853291946,0.0005411155770297,-0.0017073093622457,0.0,0.0,0.0,0.5421315512502561,assoc,assoc
soft_dimension,3072,3,-0.0003726570672976,0.0001121950268092,-0.0002687538508325,0.0,0.0,0.0,0.8235088578788631,assoc,assoc
soft_dimension,4096,3,-0.0005006405748039,6.270537626346485e-05,-0.0005423062539193,0.0,0.0,0.0,0.7124730239194749,assoc,assoc
soft_dimension,6144,3,-0.0001287553507912,2.1627274940691367e-05,-0.0001210368645843,0.0,0.0,0.0,0.8949138046750171,assoc,assoc
uniform,512,3,10.639570207645496,0.33920544603908,10.721007399260998,-0.83203125,0.1674807060099145,-0.9990234375,21.57774024295012,assoc,assoc
uniform,1024,3,11.337130200117826,0.1310700006482541,11.340269453823566,-1.0,0.0,-1.0,457.3413224923217,assoc,assoc
uniform,1536,3,8.850682449216644e-05,0.0085822177653573,0.0029714299016631,0.0,0.0,0.0,1.484787656370924,assoc,assoc
uniform,2048,3,0.0046969214551305,0.0022907287784212,0.004369552974822,0.0,0.0,0.0,2.09157877672502,assoc,assoc
uniform,3072,3,0.0004150688667626,9.885720041059726e-05,0.000353391689714,0.0,0.0,0.0,1.198134492626968,assoc,assoc
uniform,4096,3,0.0009490362620757,0.000523455382448,0.0008243472402682,0.0,0.0,0.0,1.5730819859544818,assoc,assoc
uniform,6144,3,-2.761091066833331e-05,9.06155868236571e-05,-8.156721014530009e-05,0.0,0.0,0.0,0.9750972281383916,assoc,assoc
