task_family,scaling_mode,condition_id,rule,allocation_rule,is_primary_allocation_rule,budget,n_independent_runs,mean_loss_delta,sem_loss_delta,median_loss_delta,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,exact_sign_flip_p_two_sided,run_wins_loss,run_ties_loss,mean_accuracy_delta,sem_accuracy_delta
associative_recall,fixed_update_scale,uniform,uniform,uniform,False,3072,5,0.00010219911152183998,6.338539322316661e-05,5.406753431693324e-05,5.445445034013331e-06,0.00022210510408813335,0.1875,1,0,0.0,0.0
associative_recall,fixed_update_scale,uniform,uniform,uniform,False,4096,5,0.0010157651461971267,2.5775909344088913e-05,0.0010010674256288332,0.0009724731023501,0.0010619347924754469,0.0625,0,0,0.0,0.0
associative_recall,fixed_update_scale,uniform,uniform,uniform,False,6144,5,2.4230776277066655e-05,9.212249444849976e-06,3.257727560900003e-05,6.2983065921199455e-06,3.8425682578253345e-05,0.125,1,0,0.0,0.0
associative_recall,rslora,effective_rank,effective_rank,effective_rank,False,512,5,-0.25952952293058235,0.09835703841496025,-0.1785916512211164,-0.44717381708323956,-0.11231304431955018,0.0625,5,0,0.07415364583333334,0.050353811717067994
associative_recall,rslora,effective_rank,effective_rank,effective_rank,False,1024,5,-0.13208443770805994,0.09790069654997631,-0.0284290480970716,-0.3314907631604001,-0.01612347962800416,0.0625,5,0,0.04147135416666667,0.040903295669486514
associative_recall,rslora,effective_rank,effective_rank,effective_rank,False,1536,5,-0.00382385750999674,0.00023200502884494125,-0.0041129766420151,-0.004196099455778807,-0.0033717314518677335,0.0625,5,0,0.0,0.0
associative_recall,rslora,effective_rank,effective_rank,effective_rank,False,2048,5,-0.0021614211941293135,0.00023825078437511712,-0.0022501280958143665,-0.0025572135772866334,-0.0017797206489679669,0.0625,5,0,0.0,0.0
associative_recall,rslora,effective_rank,effective_rank,effective_rank,False,3072,5,-0.0005108712958948067,0.00012892418230482736,-0.0003511287989870667,-0.0007589795073727334,-0.00030135674557337335,0.0625,5,0,0.0,0.0
associative_recall,rslora,effective_rank,effective_rank,effective_rank,False,4096,5,-0.0005378694923517067,4.797729973626092e-05,-0.0005322989018168333,-0.00061447875535426,-0.00045128402319582665,0.0625,5,0,0.0,0.0
associative_recall,rslora,effective_rank,effective_rank,effective_rank,False,6144,5,-0.0001553340126217067,8.428615808711915e-06,-0.0001494338236322667,-0.00016969069353458006,-0.00014158656849760004,0.0625,5,0,0.0,0.0
