task_family,run,seed,scaling_mode,condition_id,rule,allocation_rule,comparison_role,is_primary_allocation_rule,budget,n_adaptation_replicates,actual_cost,requested_budget,final_val_loss,final_val_accuracy,diverged_count
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,uniform_exact_cost__4096,uniform_exact_cost__4096,uniform_exact_cost,exact_cost_baseline,False,4096,3,4096.0,4096.0,0.0016582521784584334,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,uniform_exact_cost__512,uniform_exact_cost__512,uniform_exact_cost,exact_cost_baseline,False,512,3,512.0,512.0,0.22118641808629033,0.9615885416666666,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,uniform_exact_cost__6144,uniform_exact_cost__6144,uniform_exact_cost,exact_cost_baseline,False,6144,3,6144.0,6144.0,0.0009655183506159,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,uniform_fill,uniform_fill,uniform_fill,cap_baseline,False,512,3,512.0,512.0,0.27579080561796826,0.9993489583333334,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,uniform_fill,uniform_fill,uniform_fill,cap_baseline,False,1024,3,1024.0,1024.0,0.035750682077681,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,uniform_fill,uniform_fill,uniform_fill,cap_baseline,False,1536,3,1536.0,1536.0,0.013526970598225767,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,uniform_fill,uniform_fill,uniform_fill,cap_baseline,False,2048,3,2048.0,2048.0,0.007318381355920133,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,uniform_fill,uniform_fill,uniform_fill,cap_baseline,False,3072,3,3072.0,3072.0,0.0028262189880478663,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,uniform_fill,uniform_fill,uniform_fill,cap_baseline,False,4096,3,4096.0,4096.0,0.0019165359990438002,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,uniform_fill,uniform_fill,uniform_fill,cap_baseline,False,6144,3,6144.0,6144.0,0.0010523333233625335,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,effective_rank,effective_rank,effective_rank,candidate,False,512,3,512.0,512.0,0.1837682525316874,0.9573567708333334,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,effective_rank,effective_rank,effective_rank,candidate,False,1024,3,1024.0,1024.0,0.015134172514080934,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,effective_rank,effective_rank,effective_rank,candidate,False,1536,3,1472.0,1536.0,0.006489463868395666,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,effective_rank,effective_rank,effective_rank,candidate,False,2048,3,2048.0,2048.0,0.0033408209177044,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,effective_rank,effective_rank,effective_rank,candidate,False,3072,3,3072.0,3072.0,0.0020371868934792336,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,effective_rank,effective_rank,effective_rank,candidate,False,4096,3,4096.0,4096.0,0.0013958097988506335,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,effective_rank,effective_rank,effective_rank,candidate,False,6144,3,6144.0,6144.0,0.0009115934299187999,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,gradient_norm,gradient_norm,gradient_norm,candidate,False,512,3,512.0,512.0,0.31788042560219765,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,gradient_norm,gradient_norm,gradient_norm,candidate,False,1024,3,1024.0,1024.0,0.012319260470879534,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,gradient_norm,gradient_norm,gradient_norm,candidate,False,1536,3,1536.0,1536.0,0.005668737246499667,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,gradient_norm,gradient_norm,gradient_norm,candidate,False,2048,3,2048.0,2048.0,0.002752487664110933,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,gradient_norm,gradient_norm,gradient_norm,candidate,False,3072,3,3072.0,3072.0,0.0017465646669733669,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,gradient_norm,gradient_norm,gradient_norm,candidate,False,4096,3,4096.0,4096.0,0.0012422746901089333,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,gradient_norm,gradient_norm,gradient_norm,candidate,False,6144,3,6144.0,6144.0,0.0008926821659163,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,512,3,512.0,512.0,0.2685944624245167,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,1024,3,1024.0,1024.0,0.015117454614179767,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,1536,3,1472.0,1536.0,0.006151594396214867,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,2048,3,2048.0,2048.0,0.0030939996552963663,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,3072,3,3072.0,3072.0,0.0015596891656362334,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,4096,3,4096.0,4096.0,0.0012691230416142334,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,6144,3,6144.0,6144.0,0.0008419417232895333,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,512,3,512.0,512.0,0.2685944624245167,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,1024,3,1024.0,1024.0,0.022694668732583467,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,1536,3,1536.0,1536.0,0.005997604341246133,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,2048,3,2048.0,2048.0,0.0034749067078033665,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,3072,3,3072.0,3072.0,0.0015596891656362334,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,4096,3,4096.0,4096.0,0.0012696506843591334,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,6144,3,6144.0,6144.0,0.0009529874247769999,1.0,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,soft_dimension,soft_dimension,soft_dimension,candidate,True,512,3,512.0,512.0,0.1837682525316874,0.9573567708333334,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,soft_dimension,soft_dimension,soft_dimension,candidate,True,1024,3,1024.0,1024.0,0.015134172514080934,1.0,0
