task_family,run,seed,scaling_mode,budget,adaptation_replicate,condition_id,rule,allocation_rule,comparison_role,is_primary_allocation_rule,loss_delta_vs_uniform_fill,acc_delta_vs_uniform_fill,loss_ratio_vs_uniform_fill,actual_cost,uniform_fill_cost,cost_gap_vs_uniform_fill
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,512,2,gradient_norm,gradient_norm,gradient_norm,candidate,False,0.007239729166030884,0.0,1.025398013293535,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,512,2,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,-0.04190682619810099,0.0,0.8529848141470255,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,512,2,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,-0.04190682619810099,0.0,0.8529848141470255,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,512,2,uniform,uniform,uniform,cap_baseline,False,10.770787168294191,-1.0,35.218601762497656,0,512,-512
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,512,2,effective_rank,effective_rank,effective_rank,candidate,False,-0.07758692465722561,-0.1279296875,0.7535077023304526,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,512,2,soft_dimension,soft_dimension,soft_dimension,candidate,True,-0.07758692465722561,-0.1279296875,0.7535077023304526,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,512,2,gradient_norm,gradient_norm,gradient_norm,candidate,False,0.0024709925055503845,0.0,1.0078502998141534,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,512,2,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,-0.053087191656231936,0.0,0.8313429240045335,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,512,2,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,-0.053087191656231936,0.0,0.8313429240045335,512,512,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,0,uniform,uniform,uniform,cap_baseline,False,11.079006697284058,-1.0,347.5800429471379,0,1024,-1024
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,0,effective_rank,effective_rank,effective_rank,candidate,False,-0.011470680125057697,0.0,0.6411673971322767,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,0,soft_dimension,soft_dimension,soft_dimension,candidate,True,-0.011470680125057697,0.0,0.6411673971322767,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,0,gradient_norm,gradient_norm,gradient_norm,candidate,False,-0.013564808294177097,0.0,0.5756576406512978,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,0,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,-0.011080475989729197,0.0,0.6533739937772137,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,0,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,-0.007202482782304297,0.0,0.7746876718985124,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,0,uniform,uniform,uniform,cap_baseline,False,11.065114414319396,-1.0,242.2858537291111,0,1024,-1024
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,0,effective_rank,effective_rank,effective_rank,candidate,False,-0.0369250647490844,0.0,0.1948121421631455,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,0,soft_dimension,soft_dimension,soft_dimension,candidate,True,-0.0369250647490844,0.0,0.1948121421631455,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,0,gradient_norm,gradient_norm,gradient_norm,candidate,False,-0.0317740587051958,0.0,0.3071349654369001,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,0,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,-0.0309645038796589,0.0,0.32478811568064364,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,0,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,-0.021373372990638,0.0,0.5339322888118531,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,0,uniform,uniform,uniform,cap_baseline,False,11.082941762171686,-1.0,396.3731984809852,0,1024,-1024
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,0,effective_rank,effective_rank,effective_rank,candidate,False,-0.010743056423962099,0.0,0.6167518813189815,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,0,soft_dimension,soft_dimension,soft_dimension,candidate,True,-0.010743056423962099,0.0,0.6167518813189815,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,0,gradient_norm,gradient_norm,gradient_norm,candidate,False,-0.0154248918406665,0.0,0.44973194354559565,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,0,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,-0.007282542064785898,0.0,0.7402023748735714,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,0,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,-0.0022529033012687986,0.0,0.9196298597244927,1024,1024,0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,1,uniform,uniform,uniform,cap_baseline,False,11.060694729443638,-1.0,321.9838972784982,0,1024,-1024
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,1,effective_rank,effective_rank,effective_rank,candidate,False,-0.016327073099091705,0.0,0.5261845948476876,1024,1024,0
