run,seed,task_family,protocol_version,site_name,d_in,d_out,n_tokens,n_batches,whitening,lambda_scale,calibration_data_seed,permutation_seed,dropout_disabled_during_calibration,edge,null_bootstrap,null_quantile,null_quantile_method,null_uncertainty_resamples,edge_mc_confidence,edge_mc_ci_low,edge_mc_ci_high,edge_q_0_99,edge_q_0_995,edge_q_0_999,gradient_norm,cov_trace,cov_effective_rank,top_sv,frobenius,nuclear,effective_rank,stable_rank,hard_detectable_rank,soft_dimension
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,synthetic_transformer_publication_protocol_v4,blocks.0.attn.k_proj,64,64,8192,8,diag,0.01,1137808850,564143457,True,0.0393621353819784,4096,0.995,linear,2000,0.95,0.0391815009216511,0.0397155514877234,0.0390189653483705,0.0393621353819784,0.0405451620610113,0.1475178883148826,66.5425473455195,19.459054124201565,0.0934690386047292,0.1438649513064916,0.4912616979393011,6.67721569243538,2.369051243227309,3,4.662563885823093
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,synthetic_transformer_publication_protocol_v4,blocks.0.attn.v_proj,64,64,8192,8,diag,0.01,1137808850,650855565,True,0.2559448081399653,4096,0.995,linear,2000,0.95,0.254799875950937,0.2563763388998714,0.2537147952397882,0.2559448081399653,0.2594651304886222,0.9935003768679728,66.5425473455195,19.459054124201565,0.4258450351811972,0.978238139672424,3.7464073138514458,11.316682716202116,5.276986774486622,5,6.325281782839184
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,synthetic_transformer_publication_protocol_v4,blocks.0.attn.o_proj,64,64,8192,8,diag,0.01,1137808850,146246536,True,0.7090292304165705,4096,0.995,linear,2000,0.95,0.7066058083300295,0.7118246262139708,0.7033047146329926,0.7090292304165705,0.7163247007598275,1.2339388674809328,14.344344526872415,8.72032022020999,1.2128394684429964,2.7220004109881284,9.891455669057464,10.805440353871203,5.036974243037491,6,6.228090413805521
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,synthetic_transformer_publication_protocol_v4,blocks.0.mlp.fc2,128,64,8192,8,diag,0.01,1137808850,1583553373,True,0.7731331438974884,4096,0.995,linear,2000,0.95,0.7705712742551801,0.7750433088195194,0.7688642674438075,0.7731331438974884,0.7853124049385451,1.6696173768102465,30.67483152632071,14.467523377128607,1.4881694997062624,3.504599591021217,13.322632764992449,12.232979392745944,5.545899729018286,7,7.838326730701002
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,synthetic_transformer_publication_protocol_v4,blocks.1.attn.q_proj,64,64,1024,8,diag,0.01,1137808850,646435260,True,0.0641240936637008,4096,0.995,linear,2000,0.95,0.0639279691712438,0.0644896030054707,0.0637428255651564,0.0641240936637008,0.0655768708833124,0.2512963575543356,67.49612361912331,14.565362575522178,0.1354574369132567,0.2444823647820389,0.8231619713714624,8.657557394926165,3.2575370794967635,5,5.574653597003076
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,synthetic_transformer_publication_protocol_v4,blocks.1.attn.k_proj,64,64,8192,8,diag,0.01,1137808850,1087352206,True,0.0445571124200171,4096,0.995,linear,2000,0.95,0.044457892628807,0.0447969893709419,0.0443754822854378,0.0445571124200171,0.0452605796831895,0.1754411036564577,67.45514687825549,18.86812454926153,0.0866543889350028,0.1716029006632725,0.7098163757088591,11.013911006777375,3.92164358859114,4,6.2673597158372525
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,synthetic_transformer_publication_protocol_v4,blocks.1.attn.v_proj,64,64,8192,8,diag,0.01,1137808850,1162640815,True,0.1712613900950301,4096,0.995,linear,2000,0.95,0.1703866079723902,0.1721510081153867,0.1699150530943109,0.1712613900950301,0.173479297541574,0.6644482008807848,67.45514687825549,18.86812454926153,0.3370142252586022,0.6509129250559669,2.55173350084116,10.651954919294358,3.730347800286786,4,6.165153214597607
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,synthetic_transformer_publication_protocol_v4,blocks.1.attn.o_proj,64,64,1024,8,diag,0.01,1137808850,190596107,True,0.4665514312873437,4096,0.995,linear,2000,0.95,0.4646826370502517,0.4691587041814745,0.4632094662664662,0.4665514312873437,0.4735312589145339,0.7751709555022005,11.522555565874631,10.621752194374208,0.7744394018061707,1.7975042795455138,6.626005451535141,11.652171107247824,5.387223387098124,5,6.533613936829485
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,synthetic_transformer_publication_protocol_v4,blocks.1.mlp.fc2,128,64,1024,8,diag,0.01,1137808850,1792444611,True,0.4669298509448643,4096,0.995,linear,2000,0.95,0.4647494798692184,0.4682300953019864,0.4636085774000406,0.4669298509448643,0.4696324321484426,1.312531374616081,48.53295629156048,9.983295788511125,0.8756400761515077,2.123432571646651,8.122419705966465,13.368482599088187,5.880654837467688,10,8.252896444484337
transformer_publication_20260622T101458Z_associative_recall_seed109,109,associative_recall,synthetic_transformer_publication_protocol_v4,blocks.0.attn.q_proj,64,64,8192,8,diag,0.01,1137808852,1193552947,True,0.049300134403638,4096,0.995,linear,2000,0.95,0.0490650967215686,0.049482084741573,0.0489625305251687,0.049300134403638,0.0501518120569846,0.1817759146665392,66.95811098551204,18.75969180189958,0.1365299629074603,0.1810488853797257,0.4839049248493398,4.039554600066998,1.7584732509151877,2,3.5724703536594413
