task_family,scaling_mode,condition_id,rule,allocation_rule,comparison_role,is_primary_allocation_rule,budget,n_runs,mean_adaptation_replicates,mean_actual_cost,mean_requested_budget,mean_val_loss,sem_val_loss,median_val_loss,mean_val_accuracy,sem_val_accuracy,median_val_accuracy,diverged_count
associative_recall,rslora,gradient_norm,gradient_norm,gradient_norm,candidate,False,1024,5,3.0,998.4,1024.0,0.018313859247912914,0.0036390537328504784,0.012627759133465533,1.0,0.0,1.0,0
associative_recall,rslora,gradient_norm,gradient_norm,gradient_norm,candidate,False,1536,5,3.0,1536.0,1536.0,0.00503402218067392,0.0004029188689440627,0.0052305075999659,1.0,0.0,1.0,0
associative_recall,rslora,gradient_norm,gradient_norm,gradient_norm,candidate,False,2048,5,3.0,2048.0,2048.0,0.0027603978611295665,0.00018875705129481023,0.002644596737809433,1.0,0.0,1.0,0
associative_recall,rslora,gradient_norm,gradient_norm,gradient_norm,candidate,False,3072,5,3.0,3072.0,3072.0,0.0015994241170118931,8.145017731422396e-05,0.0015239269948020666,1.0,0.0,1.0,0
associative_recall,rslora,gradient_norm,gradient_norm,gradient_norm,candidate,False,4096,5,3.0,4096.0,4096.0,0.0012597930801954134,3.057214037498299e-05,0.0012864005887724998,1.0,0.0,1.0,0
associative_recall,rslora,gradient_norm,gradient_norm,gradient_norm,candidate,False,6144,5,3.0,6144.0,6144.0,0.00092210986525358,2.4164386783029617e-05,0.0009106249563046333,1.0,0.0,1.0,0
associative_recall,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,512,5,3.0,512.0,512.0,0.3313967641443014,0.03382893063725828,0.30268920709689456,1.0,0.0,1.0,0
associative_recall,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,1024,5,3.0,1024.0,1024.0,0.01939757710788394,0.002109014041105284,0.0191834849926332,1.0,0.0,1.0,0
associative_recall,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,1536,5,3.0,1510.4,1536.0,0.0054856844595633,0.0005847729499572139,0.004753210795267133,1.0,0.0,1.0,0
associative_recall,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,2048,5,3.0,2035.2,2048.0,0.00283815868800346,0.00019211448712778717,0.0029114987992215333,1.0,0.0,1.0,0
associative_recall,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,3072,5,3.0,3059.2,3072.0,0.00158271102118302,5.9066092166025496e-05,0.0015570288863575997,1.0,0.0,1.0,0
associative_recall,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,4096,5,3.0,4096.0,4096.0,0.0012930916719293335,2.20528361957512e-05,0.0012959002585072,1.0,0.0,1.0,0
associative_recall,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,candidate,False,6144,5,3.0,6144.0,6144.0,0.000933775123849,3.3529867666474195e-05,0.0009698114032895667,1.0,0.0,1.0,0
associative_recall,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,512,5,3.0,512.0,512.0,0.3313967641443014,0.03382893063725828,0.30268920709689456,1.0,0.0,1.0,0
associative_recall,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,1024,5,3.0,1024.0,1024.0,0.02091301993156468,0.001871193928657701,0.020481668645516,1.0,0.0,1.0,0
associative_recall,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,1536,5,3.0,1536.0,1536.0,0.005022794722268934,0.0002980147774236193,0.0046406057081184665,1.0,0.0,1.0,0
associative_recall,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,2048,5,3.0,2035.2,2048.0,0.0029143400985048597,0.0002290343780888878,0.0029114987992215333,1.0,0.0,1.0,0
associative_recall,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,3072,5,3.0,3046.4,3072.0,0.0016516917152329866,0.00012659596608442065,0.0015570288863575997,1.0,0.0,1.0,0
associative_recall,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,4096,5,3.0,4096.0,4096.0,0.0013244825046664266,4.511231861412407e-05,0.0013195030090476332,1.0,0.0,1.0,0
associative_recall,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,6144,5,3.0,6144.0,6144.0,0.0009915496014096866,3.0090058675341266e-05,0.0009751977850100333,1.0,0.0,1.0,0
associative_recall,rslora,soft_dimension,soft_dimension,soft_dimension,candidate,True,512,5,3.0,512.0,512.0,0.4611537334819634,0.07514007213162095,0.5187438130378723,0.94375,0.010434148741557089,0.9423828125,0
associative_recall,rslora,soft_dimension,soft_dimension,soft_dimension,candidate,True,1024,5,3.0,1024.0,1024.0,0.017088613457356832,0.001391547801710541,0.016502542110780834,1.0,0.0,1.0,0
associative_recall,rslora,soft_dimension,soft_dimension,soft_dimension,candidate,True,1536,5,3.0,1510.4,1536.0,0.007666590266550527,0.000916644160374595,0.007381697456973267,0.9999348958333332,6.510416666667407e-05,1.0,0
associative_recall,rslora,soft_dimension,soft_dimension,soft_dimension,candidate,True,2048,5,3.0,2048.0,2048.0,0.003501926667134533,0.0002777920254341065,0.0033448892257486335,1.0,0.0,1.0,0
associative_recall,rslora,soft_dimension,soft_dimension,soft_dimension,candidate,True,3072,5,3.0,3072.0,3072.0,0.0020832072012126066,8.93655447314343e-05,0.0021184151167593,1.0,0.0,1.0,0
associative_recall,rslora,soft_dimension,soft_dimension,soft_dimension,candidate,True,4096,5,3.0,4096.0,4096.0,0.0013703644741326067,6.42891368363637e-05,0.0013630870283425668,1.0,0.0,1.0,0
associative_recall,rslora,soft_dimension,soft_dimension,soft_dimension,candidate,True,6144,5,3.0,6144.0,6144.0,0.0009764723974512266,4.636329848245577e-05,0.0009462455418542333,1.0,0.0,1.0,0
associative_recall,rslora,uniform,uniform,uniform,cap_baseline,False,512,5,3.0,0.0,512.0,11.535631148020427,0.12058282106495939,11.600569009780884,0.0,0.0,0.0,0
associative_recall,rslora,uniform,uniform,uniform,cap_baseline,False,1024,5,3.0,0.0,1024.0,11.54185648759206,0.12005608658904862,11.605939030647278,0.0,0.0,0.0,0
associative_recall,rslora,uniform,uniform,uniform,cap_baseline,False,1536,5,3.0,1408.0,1536.0,0.011331391276325981,0.0011981575130755129,0.011524254650187934,1.0,0.0,1.0,0
associative_recall,rslora,uniform,uniform,uniform,cap_baseline,False,2048,5,3.0,1408.0,2048.0,0.012134691987497068,0.002969655535927178,0.010029731318354567,1.0,0.0,1.0,0
associative_recall,rslora,uniform,uniform,uniform,cap_baseline,False,3072,5,3.0,2816.0,3072.0,0.0024852797583055533,0.00011544542402764213,0.0025187683398446665,1.0,0.0,1.0,0
associative_recall,rslora,uniform,uniform,uniform,cap_baseline,False,4096,5,3.0,2816.0,4096.0,0.002546346517434913,0.00014655877713528877,0.002405568317044467,1.0,0.0,1.0,0
associative_recall,rslora,uniform,uniform,uniform,cap_baseline,False,6144,5,3.0,5632.0,6144.0,0.00113050985964942,4.5193161497036405e-05,0.0010925769505168,1.0,0.0,1.0,0
associative_recall,rslora,uniform_exact_cost__1024,uniform_exact_cost__1024,uniform_exact_cost,exact_cost_baseline,False,1024,5,3.0,1024.0,1024.0,0.1491730511654168,0.09820267141049832,0.042537264603500526,0.9585286458333334,0.040903295669486514,0.9996744791666666,0
associative_recall,rslora,uniform_exact_cost__1472,uniform_exact_cost__1472,uniform_exact_cost,exact_cost_baseline,False,1536,4,3.0,1472.0,1536.0,0.007953076002498425,0.0009161125369009126,0.007837274053599633,1.0,0.0,1.0,0
associative_recall,rslora,uniform_exact_cost__1536,uniform_exact_cost__1536,uniform_exact_cost,exact_cost_baseline,False,1536,5,3.0,1536.0,1536.0,0.00757028242805968,0.0006914958974857613,0.007381697456973267,1.0,0.0,1.0,0
associative_recall,rslora,uniform_exact_cost__1984,uniform_exact_cost__1984,uniform_exact_cost,exact_cost_baseline,False,2048,1,3.0,1984.0,2048.0,0.004085915531807867,0.0,0.004085915531807867,1.0,0.0,1.0,0
associative_recall,rslora,uniform_exact_cost__2048,uniform_exact_cost__2048,uniform_exact_cost,exact_cost_baseline,False,2048,5,3.0,2048.0,2048.0,0.004347073352740407,0.0003597573895355219,0.004400855066099434,1.0,0.0,1.0,0
associative_recall,rslora,uniform_exact_cost__3008,uniform_exact_cost__3008,uniform_exact_cost,exact_cost_baseline,False,3072,2,3.0,3008.0,3072.0,0.00240657262717525,0.00024987966268478324,0.00240657262717525,1.0,0.0,1.0,0
associative_recall,rslora,uniform_exact_cost__3072,uniform_exact_cost__3072,uniform_exact_cost,exact_cost_baseline,False,3072,5,3.0,3072.0,3072.0,0.0021689404432739,7.721120834273711e-05,0.0021957368880975666,1.0,0.0,1.0,0
associative_recall,rslora,uniform_exact_cost__4096,uniform_exact_cost__4096,uniform_exact_cost,exact_cost_baseline,False,4096,5,3.0,4096.0,4096.0,0.0015395640279165866,7.834936237225509e-05,0.0015294509018227668,1.0,0.0,1.0,0
associative_recall,rslora,uniform_exact_cost__512,uniform_exact_cost__512,uniform_exact_cost,exact_cost_baseline,False,512,5,3.0,512.0,512.0,0.3309675106157859,0.054698580472128534,0.4022395573556423,0.9445963541666668,0.013935713778515619,0.9345703125,0
associative_recall,rslora,uniform_exact_cost__6144,uniform_exact_cost__6144,uniform_exact_cost,exact_cost_baseline,False,6144,5,3.0,6144.0,6144.0,0.00106493378067772,4.230284629025119e-05,0.0010572377796051332,1.0,0.0,1.0,0
associative_recall,rslora,uniform_exact_cost__960,uniform_exact_cost__960,uniform_exact_cost,exact_cost_baseline,False,1024,2,3.0,960.0,1024.0,0.03450546945290013,0.003373207330393302,0.03450546945290013,1.0,0.0,1.0,0
associative_recall,rslora,uniform_fill,uniform_fill,uniform_fill,cap_baseline,False,512,5,3.0,512.0,512.0,0.6953276719897985,0.13167166320514223,0.588173134252429,0.8686197916666666,0.050186466504629205,0.8850911458333334,0
associative_recall,rslora,uniform_fill,uniform_fill,uniform_fill,cap_baseline,False,1024,5,3.0,1024.0,1024.0,0.1491730511654168,0.09820267141049832,0.042537264603500526,0.9585286458333334,0.040903295669486514,0.9996744791666666,0
associative_recall,rslora,uniform_fill,uniform_fill,uniform_fill,cap_baseline,False,1536,5,3.0,1536.0,1536.0,0.011207736077873608,0.0008429994867123567,0.011840714607387734,1.0,0.0,1.0,0
