task_family,run,seed,scaling_mode,budget,best_loss_condition_id,best_loss_rule,best_loss,best_accuracy_condition_id,best_accuracy_rule,best_accuracy
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,fixed_update_scale,6144,gradient_norm,gradient_norm,0.0009217764163621999,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,rslora,512,marginal_gain_edge,marginal_gain_edge,0.42038732767105097,marginal_gain_edge,marginal_gain_edge,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,rslora,1024,effective_rank,effective_rank,0.02213399709823227,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,rslora,1536,gradient_norm,gradient_norm,0.0052305075999659,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,rslora,2048,marginal_gain_edge,marginal_gain_edge,0.0032679748061733662,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,rslora,3072,marginal_gain_edge,marginal_gain_edge,0.0018082639629331335,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,rslora,4096,marginal_gain_edge,marginal_gain_edge,0.0013174531680609,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,rslora,6144,gradient_norm,gradient_norm,0.0009922247312108667,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,standard,512,gradient_norm,gradient_norm,0.43449453885356587,gradient_norm,gradient_norm,0.9996744791666666
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,standard,1024,effective_rank,effective_rank,0.018190421164035766,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,standard,1536,gradient_norm,gradient_norm,0.004603053743873368,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,standard,2048,marginal_gain_edge,marginal_gain_edge,0.0027305420759754667,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,standard,3072,marginal_gain_edge,marginal_gain_edge,0.0016637597388277,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,standard,4096,effective_rank,effective_rank,0.0012086068163625332,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,standard,6144,soft_dimension,soft_dimension,0.0010360608357586334,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,fixed_update_scale,512,marginal_gain_edge,marginal_gain_edge,0.2896256744861602,marginal_gain_edge,marginal_gain_edge,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,fixed_update_scale,1024,gradient_norm,gradient_norm,0.016081277125825435,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,fixed_update_scale,1536,marginal_gain_edge,marginal_gain_edge,0.0047828173264860665,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,fixed_update_scale,2048,gradient_norm,gradient_norm,0.0030244987671417998,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,fixed_update_scale,3072,gradient_norm,gradient_norm,0.001577879268249133,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,fixed_update_scale,4096,marginal_gain_soft,marginal_gain_soft,0.0012029011656219332,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,fixed_update_scale,6144,marginal_gain_edge,marginal_gain_edge,0.0008528048347215667,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,rslora,512,marginal_gain_edge,marginal_gain_edge,0.2612519854058822,gradient_norm,gradient_norm,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,rslora,1024,gradient_norm,gradient_norm,0.012627759133465533,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,rslora,1536,gradient_norm,gradient_norm,0.004114977229619334,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,rslora,2048,gradient_norm,gradient_norm,0.0026335137469383333,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,rslora,3072,gradient_norm,gradient_norm,0.0015239269948020666,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,rslora,4096,marginal_gain_soft,marginal_gain_soft,0.0011923475540242666,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,rslora,6144,gradient_norm,gradient_norm,0.0009106249563046333,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,standard,512,effective_rank,effective_rank,0.34729404499133426,marginal_gain_edge,marginal_gain_edge,1.0
