task_family,scaling_mode,condition_id,rule,allocation_rule,is_primary_allocation_rule,n_independent_runs,mean_loss_delta,sem_loss_delta,median_loss_delta,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,exact_sign_flip_p_two_sided,run_wins_loss,run_ties_loss,mean_accuracy_delta,sem_accuracy_delta
modular,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,5,0.03851234371750102,0.05867932242162785,-0.0005409290514656554,-0.0574755815842082,0.14228803407788926,0.6875,3,0,-0.009839287778933982,0.017557613980059915
modular,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,5,0.04177702989214197,0.04267108396076187,-0.010348835956369484,-0.023698546671500148,0.12552436039373768,0.5,3,0,-0.008729332870852122,0.013814896624431628
modular,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,5,0.0646374593251061,0.04455008479015529,0.07319184157345689,-0.007311457649365652,0.14039552342919775,0.25,2,0,-0.01632558677303734,0.012275487113567074
modular,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,5,0.01977586760992719,0.022235073814414915,0.015099513881681202,-0.019741734885295688,0.05534975078095971,0.375,1,0,-0.006359116660885655,0.005224067683007224
modular,rslora,effective_rank,effective_rank,effective_rank,False,5,0.03241307644197946,0.0294799858632471,0.017139120747800798,-0.012514656955961618,0.09063573300649816,0.375,2,0,-0.009064631749335184,0.008492415535737543
modular,rslora,gradient_norm,gradient_norm,gradient_norm,False,5,0.06923511599697492,0.0801886011909541,0.029377911002966915,-0.057349945517725896,0.21327480109417007,0.5625,2,0,-0.015516244652560985,0.020720472842756067
modular,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,5,0.0773216822554987,0.04915981329782456,0.06737493395896667,0.0026904018603459896,0.1693922545691524,0.25,2,0,-0.0154121863799283,0.011934969823881121
modular,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,5,0.09643723666612483,0.0523121672855308,0.10251658315592548,0.009652212243643474,0.18641157302364114,0.25,2,0,-0.022129725979882046,0.012237569327670676
modular,rslora,soft_dimension,soft_dimension,soft_dimension,True,5,0.023131518822552277,0.022110099054919487,0.018637901512956162,-0.016520154017299074,0.062464138543508275,0.375,1,0,-0.006451612903225807,0.005353126379663606
modular,standard,effective_rank,effective_rank,effective_rank,False,5,0.014837728608532089,0.026499999472368738,0.017866398024060808,-0.036193340482322256,0.060968166153682224,0.5625,1,0,-0.0025320846340617506,0.003200323201845893
modular,standard,gradient_norm,gradient_norm,gradient_norm,False,5,-0.047143876557561984,0.07697899023136581,-0.00867232564457271,-0.20353938062386293,0.057885265683820755,0.8125,3,0,0.01823332177130304,0.025831000186059303
modular,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,5,-0.010672760402409243,0.10684702369699596,-0.024535030224344917,-0.2045716739525091,0.19853272612258,0.6875,4,0,0.00819747947739623,0.02977798825565454
modular,standard,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,5,-0.025110436572285934,0.11116086369626986,-0.025963378911227398,-0.23440249644100136,0.18614560414679807,0.5625,4,0,0.01473002659266968,0.03336606632139369
modular,standard,soft_dimension,soft_dimension,soft_dimension,True,5,-0.03879030122805991,0.040939506327319526,-0.0006172345783865188,-0.11791267465575643,0.01752046199246478,0.5625,3,0,0.01491501907734998,0.011141772552987646
