task_family,run,seed,scaling_mode,budget,adaptation_replicate,condition_id,rule,allocation_rule,is_primary_allocation_rule,matched_baseline_condition_id,actual_cost,exact_uniform_cost,loss_delta_vs_exact_uniform,acc_delta_vs_exact_uniform
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,512,2,gradient_norm,gradient_norm,gradient_norm,False,uniform_exact_cost__512,512,512,0.080057917162776,0.1279296875
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,512,2,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,uniform_exact_cost__512,512,512,0.024499733000993673,0.1279296875
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,512,2,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,uniform_exact_cost__512,512,512,0.024499733000993673,0.1279296875
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,0,effective_rank,effective_rank,effective_rank,False,uniform_exact_cost__1024,1024,1024,-0.011470680125057697,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,0,soft_dimension,soft_dimension,soft_dimension,True,uniform_exact_cost__1024,1024,1024,-0.011470680125057697,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,0,gradient_norm,gradient_norm,gradient_norm,False,uniform_exact_cost__1024,1024,1024,-0.013564808294177097,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,0,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,uniform_exact_cost__1024,1024,1024,-0.011080475989729197,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,1024,0,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,uniform_exact_cost__1024,1024,1024,-0.007202482782304297,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,0,effective_rank,effective_rank,effective_rank,False,uniform_exact_cost__1024,1024,1024,-0.0369250647490844,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,0,soft_dimension,soft_dimension,soft_dimension,True,uniform_exact_cost__1024,1024,1024,-0.0369250647490844,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,0,gradient_norm,gradient_norm,gradient_norm,False,uniform_exact_cost__1024,1024,1024,-0.0317740587051958,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,0,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,uniform_exact_cost__1024,1024,1024,-0.0309645038796589,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,1024,0,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,uniform_exact_cost__1024,1024,1024,-0.021373372990638,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,0,effective_rank,effective_rank,effective_rank,False,uniform_exact_cost__1024,1024,1024,-0.010743056423962099,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,1024,0,soft_dimension,soft_dimension,soft_dimension,True,uniform_exact_cost__1024,1024,1024,-0.010743056423962099,0.0
