task_family,run,seed,scaling_mode,condition_id,rule,allocation_rule,is_primary_allocation_rule,budget,n_adaptation_replicates,loss_delta_vs_uniform_fill,acc_delta_vs_uniform_fill,actual_cost,reference_cost,cost_gap
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,effective_rank,effective_rank,effective_rank,False,1024,3,-0.0139168757790079,0.0,1024.0,1024.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,effective_rank,effective_rank,effective_rank,False,1536,3,-0.0041129766420151,0.0,1472.0,1536.0,-64.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,effective_rank,effective_rank,effective_rank,False,2048,3,-0.0016591179204018334,0.0,2048.0,2048.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,effective_rank,effective_rank,effective_rank,False,3072,3,-0.00033267785329373333,0.0,3072.0,3072.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,effective_rank,effective_rank,effective_rank,False,4096,3,-0.00038278968713713335,0.0,4096.0,4096.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,effective_rank,effective_rank,effective_rank,False,6144,3,-0.00014426512886230004,0.0,6144.0,6144.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,gradient_norm,gradient_norm,gradient_norm,False,512,3,-0.04447947815060616,0.0029296875,512.0,512.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,gradient_norm,gradient_norm,gradient_norm,False,1024,3,-0.016731787822209302,0.0,1024.0,1024.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,gradient_norm,gradient_norm,gradient_norm,False,1536,3,-0.0049337032639111,0.0,1536.0,1536.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,gradient_norm,gradient_norm,gradient_norm,False,2048,3,-0.0022474511739953,0.0,2048.0,2048.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,gradient_norm,gradient_norm,gradient_norm,False,3072,3,-0.0006233000797996,0.0,3072.0,3072.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,gradient_norm,gradient_norm,gradient_norm,False,4096,3,-0.0005363247958788333,0.0,4096.0,4096.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,gradient_norm,gradient_norm,gradient_norm,False,6144,3,-0.00016317639286480003,0.0,6144.0,6144.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,512,3,-0.09376544132828714,0.0029296875,512.0,512.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,1024,3,-0.013933593678909067,0.0,1024.0,1024.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,1536,3,-0.0044508461141959,0.0,1472.0,1536.0,-64.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,2048,3,-0.0019059391828098668,0.0,2048.0,2048.0,0.0
