run,seed,task_family,scaling_mode,site_name,base_loss,best_loss,best_rank,protocol_version,is_primary_scaling_mode,reference_alpha,scale_reference_rank,scale_at_reference_rank,near_best_rank_gap_0.1,near_best_rank_gap_0.2,recovery_rank_0.7,recovery_rank_0.8,penalized_rank_lambda_0.2,penalized_rank_lambda_0.3
transformer_publication_20260622T101458Z_associative_recall_seed109,109,associative_recall,rslora,blocks.0.attn.v_proj,11.618492722511292,0.0073167427908629,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,2,1,1,1,4,4
transformer_publication_20260622T101458Z_associative_recall_seed109,109,associative_recall,rslora,blocks.0.mlp.fc2,11.57131040096283,0.0025599276123102,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,2,2,1,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed109,109,associative_recall,rslora,blocks.1.attn.k_proj,11.61188578605652,9.656672358512878,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,8,4,4,4,8,8
transformer_publication_20260622T101458Z_associative_recall_seed109,109,associative_recall,rslora,blocks.1.attn.o_proj,11.571862936019896,0.0077278857352212,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,4,1,1,1,4,4
transformer_publication_20260622T101458Z_associative_recall_seed109,109,associative_recall,rslora,blocks.1.attn.q_proj,11.576074123382568,9.503467082977297,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,8,4,2,4,8,8
transformer_publication_20260622T101458Z_associative_recall_seed109,109,associative_recall,rslora,blocks.1.attn.v_proj,11.582613468170166,0.0110634356969967,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,2,1,1,1,4,2
transformer_publication_20260622T101458Z_associative_recall_seed109,109,associative_recall,rslora,blocks.1.mlp.fc2,11.612804889678957,0.0028775435348507,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,4,2,1,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed109,109,associative_recall,standard,blocks.0.attn.k_proj,11.588221311569214,9.472129940986632,8,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,2,2,2,2,2,2
transformer_publication_20260622T101458Z_associative_recall_seed109,109,associative_recall,standard,blocks.0.attn.o_proj,11.599279403686523,0.0059891061973758,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,2,2,1,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed109,109,associative_recall,standard,blocks.0.attn.q_proj,11.60837984085083,8.97786271572113,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,4,2,2,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed109,109,associative_recall,standard,blocks.0.attn.v_proj,11.618492722511292,0.0103951134951785,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,2,1,1,1,4,4
transformer_publication_20260622T101458Z_associative_recall_seed109,109,associative_recall,standard,blocks.0.mlp.fc2,11.57131040096283,0.0035707988718058,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,2,2,1,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed109,109,associative_recall,standard,blocks.1.attn.k_proj,11.61188578605652,9.68563461303711,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,8,4,4,4,8,8
transformer_publication_20260622T101458Z_associative_recall_seed109,109,associative_recall,standard,blocks.1.attn.o_proj,11.571862936019896,0.0119740894297137,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,4,1,1,1,4,4
