task_family,run,seed,scaling_mode,condition_id,rule,allocation_rule,is_primary_allocation_rule,budget,n_adaptation_replicates,loss_delta_vs_exact_uniform,acc_delta_vs_exact_uniform,actual_cost,reference_cost,cost_gap
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,soft_dimension,soft_dimension,soft_dimension,True,2048,3,-0.0011068160626260999,0.0,2048.0,2048.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,soft_dimension,soft_dimension,soft_dimension,True,3072,3,-7.763432707483318e-05,0.0,3072.0,3072.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,soft_dimension,soft_dimension,soft_dimension,True,4096,3,-0.0001336411029721334,0.0,4096.0,4096.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,soft_dimension,soft_dimension,soft_dimension,True,6144,3,-6.697153730786669e-05,0.0,6144.0,6144.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,effective_rank,effective_rank,effective_rank,False,512,3,0.0,0.0,512.0,512.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,effective_rank,effective_rank,effective_rank,False,1024,3,-0.027171373522530032,0.0,1024.0,1024.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,effective_rank,effective_rank,effective_rank,False,1536,3,-0.0008117489245099665,0.0,1472.0,1472.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,effective_rank,effective_rank,effective_rank,False,2048,3,-0.0009756230962617666,0.0,2048.0,2048.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,effective_rank,effective_rank,effective_rank,False,3072,3,-0.00020024064967103338,0.0,3072.0,3072.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,effective_rank,effective_rank,effective_rank,False,4096,3,-0.00011453004359893333,0.0,4096.0,4096.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,effective_rank,effective_rank,effective_rank,False,6144,3,-0.00012499510436710004,0.0,6144.0,6144.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,gradient_norm,gradient_norm,gradient_norm,False,512,3,0.14837127489348254,0.019856770833333332,512.0,512.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,gradient_norm,gradient_norm,gradient_norm,False,1024,3,-0.0272143865780284,0.0,1024.0,1024.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,gradient_norm,gradient_norm,gradient_norm,False,1536,3,-0.00033262885214449994,0.0,1536.0,1536.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,gradient_norm,gradient_norm,gradient_norm,False,2048,3,-0.0011317765262599002,0.0,2048.0,2048.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,gradient_norm,gradient_norm,gradient_norm,False,3072,3,-0.0003070928263090334,0.0,3072.0,3072.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,gradient_norm,gradient_norm,gradient_norm,False,4096,3,-0.00013533185604806667,0.0,4096.0,4096.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,gradient_norm,gradient_norm,gradient_norm,False,6144,3,-0.00011438536845770006,0.0,6144.0,6144.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,512,3,0.09141335574289165,0.019856770833333332,512.0,512.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,1024,3,-0.026664399018045567,0.0,1024.0,1024.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,1536,3,-0.0013783609805007666,0.0,1472.0,1472.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,2048,3,-0.0009470713460662667,0.0,2048.0,2048.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,3072,3,-0.00048112591806180003,0.0,3072.0,3072.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,4096,3,-7.577847767003339e-05,0.0,4096.0,4096.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,6144,3,-0.00022662265837430006,0.0,6144.0,6144.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,512,3,0.09141335574289165,0.019856770833333332,512.0,512.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,1024,3,-0.0156617464963347,0.0,1024.0,1024.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,1536,3,0.0008467326309376669,0.0,1536.0,1536.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,2048,3,-0.00028331083982873346,0.0,2048.0,2048.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,3072,3,-0.00048112591806180003,0.0,3072.0,3072.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,4096,3,-0.0001309569391499667,0.0,4096.0,4096.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,6144,3,-3.2546328536333462e-06,0.0,6144.0,6144.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,soft_dimension,soft_dimension,soft_dimension,True,512,3,0.0,0.0,512.0,512.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,soft_dimension,soft_dimension,soft_dimension,True,1024,3,-0.027171373522530032,0.0,1024.0,1024.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,soft_dimension,soft_dimension,soft_dimension,True,1536,3,-0.0008117489245099665,0.0,1472.0,1472.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,soft_dimension,soft_dimension,soft_dimension,True,2048,3,-0.0007549067959189668,0.0,2048.0,2048.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,soft_dimension,soft_dimension,soft_dimension,True,3072,3,-0.00020024064967103338,0.0,3072.0,3072.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,soft_dimension,soft_dimension,soft_dimension,True,4096,3,-0.00011453004359893333,0.0,4096.0,4096.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,soft_dimension,soft_dimension,soft_dimension,True,6144,3,-0.00012499510436710004,0.0,6144.0,6144.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,512,3,0.2186786041905483,0.012044270833333334,512.0,512.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,1024,3,-0.0237393306257824,0.0,1024.0,1024.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,1536,3,-0.0017977090707669667,0.0,1536.0,1536.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,2048,3,-0.0014960023593933332,0.0,2048.0,2048.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,3072,3,5.3811721348665945e-06,0.0,3072.0,3072.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,4096,3,-0.00039879836549519993,0.0,4096.0,4096.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,6144,3,-0.00010535419520843336,0.0,6144.0,6144.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,512,3,0.11862184666097168,0.037760416666666664,512.0,512.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,1024,3,-0.029603627665589233,0.0,1024.0,1024.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,1536,3,-0.002093868582354267,0.0,1536.0,1536.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,2048,3,-0.0019090543792117665,0.0,2048.0,2048.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,3072,3,-0.00041934817757770005,0.0,3072.0,3072.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,4096,3,-0.0004871986505653333,0.0,4096.0,4096.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,6144,3,-0.0001455314219735333,0.0,6144.0,6144.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,512,3,0.05221064575016501,0.0380859375,512.0,512.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,1024,3,-0.022704783361405134,0.0,1024.0,1024.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,1536,3,-0.0028351852961350336,0.0,1536.0,1536.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,2048,3,-0.0018152570022114667,0.0,2048.0,2048.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,3072,3,-0.0004480041970964333,0.0,3072.0,3072.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,4096,3,-0.0004374063428258667,0.0,4096.0,4096.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,6144,3,-0.00012865726118130002,0.0,6144.0,6144.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,512,3,0.05221064575016501,0.0380859375,512.0,512.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,1024,3,-0.022704783361405134,0.0,1024.0,1024.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,1536,3,-0.0028351852961350336,0.0,1536.0,1536.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,2048,3,-0.0018152570022114667,0.0,2048.0,2048.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,3072,3,-0.0004480041970964333,0.0,3072.0,3072.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,4096,3,-0.00026144197424099995,0.0,4096.0,4096.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,6144,3,-0.0001493252639193,0.0,6144.0,6144.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,512,3,0.2186786041905483,0.012044270833333334,512.0,512.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,1024,3,-0.0237393306257824,0.0,1024.0,1024.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,1536,3,-0.0010754466056823331,0.0,1472.0,1472.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,2048,3,-0.0004421215756640999,0.0,2048.0,2048.0,0.0
