task_family,run,seed,scaling_mode,condition_id,rule,allocation_rule,is_primary_allocation_rule,n_budgets,mean_adaptation_replicates,loss_delta_vs_exact_uniform,acc_delta_vs_exact_uniform,mean_actual_cost
modular,transformer_publication_20260622T101458Z_modular_seed107,107,standard,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,6,3.0,-0.37492686545491183,0.1330211585154353,2037.3333333333333
modular,transformer_publication_20260622T101458Z_modular_seed107,107,standard,soft_dimension,soft_dimension,soft_dimension,True,6,3.0,-0.19439787246654705,0.04659498207885304,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed109,109,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,6,3.0,0.10600338624362826,-0.03324083709099321,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed109,109,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,6,3.0,0.12497301110522929,-0.03341426754538099,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed109,109,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,6,3.0,0.08100993373339846,-0.03497514163487112,2037.3333333333333
modular,transformer_publication_20260622T101458Z_modular_seed109,109,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,6,3.0,0.0922375772215563,-0.0387328014799399,2016.0
modular,transformer_publication_20260622T101458Z_modular_seed109,109,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,6,3.0,0.07900366696033444,-0.022661579373337976,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed109,109,rslora,effective_rank,effective_rank,effective_rank,False,6,3.0,0.1396334745122964,-0.041276448144294174,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed109,109,rslora,gradient_norm,gradient_norm,gradient_norm,False,6,3.0,0.10901110611812055,-0.028442594519597648,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed109,109,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,6,3.0,0.06737493395896667,-0.02191004740432421,2037.3333333333333
modular,transformer_publication_20260622T101458Z_modular_seed109,109,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,6,3.0,0.10251658315592548,-0.032547115273442,2016.0
modular,transformer_publication_20260622T101458Z_modular_seed109,109,rslora,soft_dimension,soft_dimension,soft_dimension,True,6,3.0,0.0916816298972097,-0.025089605734767026,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed109,109,standard,effective_rank,effective_rank,effective_rank,False,6,3.0,0.02864116371166386,-0.0018499248468031037,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed109,109,standard,gradient_norm,gradient_norm,gradient_norm,False,6,3.0,0.10311112917743469,-0.02734420164180829,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed109,109,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,6,3.0,-0.03430669340682454,0.010232396808879636,2037.3333333333333
modular,transformer_publication_20260622T101458Z_modular_seed109,109,standard,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,6,3.0,-0.038189868054528585,0.01306509423054692,2016.0
modular,transformer_publication_20260622T101458Z_modular_seed109,109,standard,soft_dimension,soft_dimension,soft_dimension,True,6,3.0,0.03667641548658021,-0.0038732801479939884,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed113,113,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,6,3.0,0.07050114500298985,-0.012255752110070545,2037.3333333333333
modular,transformer_publication_20260622T101458Z_modular_seed113,113,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,6,3.0,-0.12474542776576453,0.03532200254364667,2026.6666666666667
modular,transformer_publication_20260622T101458Z_modular_seed113,113,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,6,3.0,0.19229600038424652,-0.04659498207885306,1994.6666666666667
modular,transformer_publication_20260622T101458Z_modular_seed113,113,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,6,3.0,0.21263244274065993,-0.052665047982425724,2037.3333333333333
modular,transformer_publication_20260622T101458Z_modular_seed113,113,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,6,3.0,0.051704627133415726,-0.009596485142791088,2026.6666666666667
modular,transformer_publication_20260622T101458Z_modular_seed113,113,rslora,effective_rank,effective_rank,effective_rank,False,6,3.0,0.041088348271144055,0.002428026361429067,2037.3333333333333
modular,transformer_publication_20260622T101458Z_modular_seed113,113,rslora,gradient_norm,gradient_norm,gradient_norm,False,6,3.0,-0.12596175384565936,0.0401780552665048,2026.6666666666667
modular,transformer_publication_20260622T101458Z_modular_seed113,113,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,6,3.0,0.2548167364681948,-0.05902416464331136,1994.6666666666667
modular,transformer_publication_20260622T101458Z_modular_seed113,113,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,6,3.0,0.26420856484899297,-0.06428488842640769,2037.3333333333333
