task_family,scaling_mode,condition_id,rule,allocation_rule,is_primary_allocation_rule,budget,n_independent_runs,mean_loss_delta,sem_loss_delta,median_loss_delta,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,exact_sign_flip_p_two_sided,run_wins_loss,run_ties_loss,mean_accuracy_delta,sem_accuracy_delta
associative_recall,rslora,soft_dimension,soft_dimension,soft_dimension,True,512,5,0.1301862228661776,0.06015891269209423,0.12677792211373648,0.025355584422747296,0.23501686130960783,0.25,0,2,-0.0008463541666666665,0.0042884821758787635
associative_recall,rslora,soft_dimension,soft_dimension,soft_dimension,True,1024,5,-0.13208443770805994,0.09790069654997631,-0.0284290480970716,-0.33218659377501647,-0.01612347962800416,0.0625,5,0,0.04147135416666667,0.040903295669486514
associative_recall,rslora,soft_dimension,soft_dimension,soft_dimension,True,1536,5,1.3790535740546717e-05,0.00026939875985912415,-0.00018857997686913338,-0.00036386171511064663,0.0005445019264395069,1.0,3,1,-6.510416666666667e-05,6.510416666666667e-05
associative_recall,rslora,soft_dimension,soft_dimension,soft_dimension,True,2048,5,-0.0008451466856058733,0.00018529071491483115,-0.0008680651468845999,-0.0011624369032991464,-0.0005278564679126001,0.0625,5,0,0.0,0.0
associative_recall,rslora,soft_dimension,soft_dimension,soft_dimension,True,3072,5,-8.573324206129332e-05,2.9654333660745955e-05,-7.763432707483318e-05,-0.00013700354805524668,-3.562624236414e-05,0.125,4,1,0.0,0.0
associative_recall,rslora,soft_dimension,soft_dimension,soft_dimension,True,4096,5,-0.00016919955378398,2.8727318777412597e-05,-0.00017702344727389997,-0.00021753581434798,-0.00011747927443746004,0.0625,5,0,0.0,0.0
associative_recall,rslora,soft_dimension,soft_dimension,soft_dimension,True,6144,5,-8.846138322649335e-05,2.7640588310300086e-05,-9.56749111840667e-05,-0.00013493458391170669,-3.826996447362668e-05,0.125,4,1,0.0,0.0
associative_recall,standard,effective_rank,effective_rank,effective_rank,False,512,5,0.1240434257934491,0.07713562860266206,0.0,0.0,0.26505109133819743,0.5,0,3,-0.012174479166666665,0.007603263627172755
associative_recall,standard,effective_rank,effective_rank,effective_rank,False,1024,5,-0.3626070790303251,0.19302743593412955,-0.18479148251935842,-0.7271333468146624,-0.05058725153406461,0.0625,5,0,0.11940104166666665,0.06886003724126406
associative_recall,standard,effective_rank,effective_rank,effective_rank,False,1536,5,-0.007893642121537914,0.004644598608739236,-0.0011542371939867997,-0.01687180464505219,-0.0005302671187867998,0.125,4,0,6.510416666666667e-05,6.510416666666667e-05
associative_recall,standard,effective_rank,effective_rank,effective_rank,False,2048,5,-0.0023633402665533734,0.0017831878699556603,-0.0006353929735875334,-0.005931456708155267,-0.00040373868929843994,0.0625,5,0,0.0,0.0
associative_recall,standard,effective_rank,effective_rank,effective_rank,False,3072,5,-0.00025405164148346664,5.442745832175873e-05,-0.00031218065608599983,-0.00033877367968668,-0.00015439661704778662,0.0625,5,0,0.0,0.0
associative_recall,standard,effective_rank,effective_rank,effective_rank,False,4096,5,-0.00014564707865552,1.877627792799078e-05,-0.00012349673246110006,-0.00018044461709603333,-0.00011494660138852667,0.0625,5,0,0.0,0.0
associative_recall,standard,effective_rank,effective_rank,effective_rank,False,6144,5,-9.890227908426007e-05,1.99765439799609e-05,-0.00011938546958846663,-0.00012771478795913337,-5.979931981226677e-05,0.0625,5,0,0.0,0.0
associative_recall,standard,gradient_norm,gradient_norm,gradient_norm,False,512,5,0.09412880937258403,0.038603239783442024,0.11451826120416324,0.023482575143376976,0.15911401485403381,0.125,1,0,0.0357421875,0.015064406404901299
associative_recall,standard,gradient_norm,gradient_norm,gradient_norm,False,1024,5,-0.048169130001527574,0.0349264135783144,-0.014405704879512366,-0.11829579722446701,-0.007781306048855166,0.0625,5,0,0.005143229166666667,0.005143229166666666
associative_recall,standard,gradient_norm,gradient_norm,gradient_norm,False,1536,5,-0.010128591543373967,0.004390135201485678,-0.009088260606707399,-0.01794070158114968,-0.0027561455693406265,0.0625,5,0,6.510416666666667e-05,6.510416666666667e-05
associative_recall,standard,gradient_norm,gradient_norm,gradient_norm,False,2048,5,-0.0027703150127005465,0.0019983691511978358,-0.0011317765262599002,-0.006789141947713999,-0.0005620574326409534,0.0625,5,0,0.0,0.0
